#heliumInput = PHENOTYPE
LineName Phenotype1
COB1103 0.0526331881
COB1139 0.0436113088
COB1163 0.0481222484
COB4100 0.0455540979
COB427 0.0473217859
COB452 0.0463212078
COB474 0.0464518388
COB475 0.0502651532
COB477 0.0445285054
COB479 0.0488421088
COB5104 0.0171904878
COB511 0.0135884066
COB512 0.0141081514
COB517 0.0188831325
COB524 0.0393116023
COB528 0.0175156757
COB536 0.0151837728
COB54 0.0173350158
COB544 0.0359096367
COB548 0.0138218749
COB553 0.0356956241
COB557 0.0181076844
COB561 0.018727487
COB7180 0.0454595989
COB7197 0.0463767955
COB725 0.0457986837
IITA-TMS-BAD9200061 0.0150642593
IITA-TMS-IBA011115 0.0144833682
IITA-TMS-IBA011206 0.0159647797
IITA-TMS-IBA011224 0.0663077556
IITA-TMS-IBA011368 0.0151615378
IITA-TMS-IBA011371 0.0155784453
IITA-TMS-IBA011404 0.0520439587
IITA-TMS-IBA011412 0.0362542803
IITA-TMS-IBA011413 0.015597901
IITA-TMS-IBA011442 0.0429220216
IITA-TMS-IBA011560 0.0151059501
IITA-TMS-IBA011646 0.0356984035
IITA-TMS-IBA011659 0.0155506515
IITA-TMS-IBA011663 0.0136801263
IITA-TMS-IBA011731 0.0143749722
IITA-TMS-IBA011797 0.0132131898
IITA-TMS-IBA011807 0.0160148086
IITA-TMS-IBA050128 0.0482250856
IITA-TMS-IBA050186 0.0150114511
IITA-TMS-IBA050286 0.0161093076
IITA-TMS-IBA050327 0.0449537511
IITA-TMS-IBA050998 0.0413766843
IITA-TMS-IBA051814 0.0163288789
IITA-TMS-IBA060889 0.0477414729
IITA-TMS-IBA061155 0.0468604082
IITA-TMS-IBA061348 0.0164511718
IITA-TMS-IBA061404 0.0276659848
IITA-TMS-IBA061577 0.0156951794
IITA-TMS-IBA061673 0.0444395651
IITA-TMS-IBA061744 0.0412043625
IITA-TMS-IBA061766 0.0236803486
IITA-TMS-IBA061771 0.0262596167
IITA-TMS-IBA061856 0.0150753769
IITA-TMS-IBA062052 0.0131242496
IITA-TMS-IBA062116 0.016112087
IITA-TMS-IBA062231 0.0191110419
IITA-TMS-IBA070045 0.0162649531
IITA-TMS-IBA070048 0.0183856228
IITA-TMS-IBA070094 0.0181910659
IITA-TMS-IBA070481 0.0149225108
IITA-TMS-IBA070498 0.0126378574
IITA-TMS-IBA070520 0.0200921644
IITA-TMS-IBA070553 0.0204729399
IITA-TMS-IBA070874 0.0178575399
IITA-TMS-IBA070952 0.052741584
IITA-TMS-IBA071295 0.0514547294
IITA-TMS-IBA090506 0.014786321
IITA-TMS-IBA090521 0.0400675946
IITA-TMS-IBA090522 0.0405095166
IITA-TMS-IBA940330 0.0498315694
IITA-TMS-IBA950289 0.0178936719
IITA-TMS-IBA972205 0.0584004091
NR110005 0.0136384355
NR110009 0.0417491217
NR110012 0.0428247432
NR110014 0.0499371859
NR110016 0.0448203406
NR110017 0.0602070085
NR110043 0.0466714101
NR110044 0.0625778227
NR110048 0.0466686308
NR110052 0.0484919064
NR110072 0.0590813581
NR110080 0.0667913683
NR110081 0.0589006982
NR110083 0.0493229421
NR110104 0.0539811891
NR110105 0.0535364877
NR110106 0.0559906835
NR110108 0.0542285543
NR110109 0.050126184
NR110110 0.0512434962
NR110112 0.0618301685
NR110118 0.0384166407
NR110122 0.05284998
NR110141 0.0390697959
NR110143 0.0554042336
NR110158 0.0521940454
NR110183 0.0134021879
NR110194 0.0426190688
NR110213 0.0596844844
NR110214 0.0636673411
UG120078 0.0693011518
UG120088 0.0685673945
UG120104 0.0414711834
UG120126 0.0374494152
UG120127 0.0401037266
UG120129 0.0473023302
UG120130 0.0705963446
UG120136 0.0754602659
UG120138 0.0813525593
UG120140 0.0486920221
UG120142 0.0486253168
UG120145 0.044453462
UG120162 0.0520995464
UG120165 0.0511462178
