BGV	Country	genus	sp_libreta	species	synonyms 	population_name
BGV007854	Mexico	Solanum	lycopersicum	Solanum lycopersicum		UGA accessions lycopersicum
BGV007857	Mexico	Solanum	lycopersicum	Solanum lycopersicum		UGA accessions lycopersicum
BGV007860	Mexico	Solanum	lycopersicum	Solanum lycopersicum		UGA accessions lycopersicum
BGV007862	Mexico	Solanum	lycopersicum	Solanum lycopersicum		UGA accessions lycopersicum
BGV007863	Mexico	Solanum	lycopersicum	Solanum lycopersicum		UGA accessions lycopersicum
BGV007864	Mexico	Solanum	lycopersicum	Solanum lycopersicum		UGA accessions lycopersicum
BGV007865	Mexico	Solanum	lycopersicum	Solanum lycopersicum		UGA accessions lycopersicum
BGV007867	Mexico	Solanum	lycopersicum	Solanum lycopersicum		UGA accessions lycopersicum
BGV007870	Mexico	Solanum	lycopersicum	Solanum lycopersicum		UGA accessions lycopersicum
BGV007871	Mexico	Solanum	lycopersicum	Solanum lycopersicum		UGA accessions lycopersicum
BGV007872	Mexico	Solanum	lycopersicum	Solanum lycopersicum		UGA accessions lycopersicum
BGV007875	Mexico	Solanum	lycopersicum	Solanum lycopersicum		UGA accessions lycopersicum
BGV007876	Mexico	Solanum	lycopersicum	Solanum lycopersicum		UGA accessions lycopersicum
BGV007878	Mexico	Solanum	lycopersicum	Solanum lycopersicum		UGA accessions lycopersicum
BGV007936	Mexico	Solanum	lycopersicum	Solanum lycopersicum		UGA accessions lycopersicum
LA0767		Solanum	lycopersicum	Solanum lycopersicum		UGA accessions lycopersicum
Tegucigalpa		Solanum	lycopersicum	Solanum lycopersicum		UGA accessions lycopersicum
Voyage		Solanum	lycopersicum	Solanum lycopersicum		UGA accessions lycopersicum
BGV006148	Ecuador	Solanum	pimpinellipolium	Solanum pimpinellifolium		UGA accessions pimpinellifolium
BGV006208	Ecuador	Solanum	pimpinellipolium	Solanum pimpinellifolium		UGA accessions pimpinellifolium
BGV006327	Peru	Solanum	pimpinellipolium	Solanum pimpinellifolium		UGA accessions pimpinellifolium
BGV006336	Peru	Solanum	pimpinellipolium	Solanum pimpinellifolium		UGA accessions pimpinellifolium
BGV006347	Peru	Solanum	pimpinellipolium	Solanum pimpinellifolium		UGA accessions pimpinellifolium
BGV006353	Peru	Solanum	pimpinellipolium	Solanum pimpinellifolium		UGA accessions pimpinellifolium
BGV006363	Peru	Solanum	pimpinellipolium	Solanum pimpinellifolium		UGA accessions pimpinellifolium
BGV006370	Peru	Solanum	pimpinellipolium	Solanum pimpinellifolium		UGA accessions pimpinellifolium
BGV006454	Peru	Solanum	pimpinellipolium	Solanum pimpinellifolium		UGA accessions pimpinellifolium
BGV006457	Peru	Solanum	pimpinellipolium	Solanum pimpinellifolium		UGA accessions pimpinellifolium
BGV006478	Peru	Solanum	pimpinellipolium	Solanum pimpinellifolium		UGA accessions pimpinellifolium
BGV007109	Ecuador	Solanum	pimpinellipolium	Solanum pimpinellifolium		UGA accessions pimpinellifolium
BGV007111	Ecuador	Solanum	pimpinellipolium	Solanum pimpinellifolium		UGA accessions pimpinellifolium
BGV007149	Ecuador	Solanum	pimpinellipolium	Solanum pimpinellifolium		UGA accessions pimpinellifolium
BGV007151	Ecuador	Solanum	pimpinellipolium	Solanum pimpinellifolium		UGA accessions pimpinellifolium
