Child	Father	Father Id
	UG120032	UG110043	383131
	UG120035	UG110043	383131
	UG120036	UG110043	383131
	UG120037	UG110043	383131
	UG120040	UG110043	383131
	UG120043	UG110005	388956
	UG120044	UG110043	383131
	UG120045	UG110043	383131
	UG120046	UG110043	383131
	UG120055	UG110012	388956
	UG120058	UG110012	388956
	UG120059	UG110004	388956
	UG120060	UG110043	383131
	UG120061	UG110004	388956
	UG120062	UG110004	388956
	UG120075	UG110001	388956
	UG120078	UG110039	388961
	UG120079	UG110001	388956
	UG120080	UG110001	388956
	UG120088	UG110017	388965
	UG120089	UG110007	388956
	UG120090	UG110007	388956
	UG120091	UG110007	388956
	UG120092	UG110007	388956
	UG120093	UG110007	388956
	UG120001	UG110007	388956
	UG120004	UG110001	388956
	UG120006	UG110007	388956
	UG120017	UG110043	383131
	UG120021	UG110043	383131
	UG120022	UG110043	383131
	UG120023	UG110043	383131
	UG120024	UG110043	383131
	UG120025	UG110043	383131
	UG120026	UG110043	383131
	UG120027	UG110043	383131
	UG120028	UG110043	383131
	UG120031	UG110043	383131
	UG120104	UG110003	388956
	UG120111	UG110063	388956
	UG120112	UG110010	388956
	UG120113	UG110065	383131
	UG120115	UG110065	383131
	UG120120	UG110060	383131
	UG120121	UG110061	383131
	UG120122	UG110060	383131
	UG120123	UG110066	383131
	UG120124	UG110066	383131
	UG120125	UG110063	383131
	UG120126	UG110017	388965
	UG120127	UG110017	388965
	UG120129	UG110017	388965
	UG120130	UG110017	388965
	UG120135	UG110064	383131
	UG120136	UG110039	388961
	UG120138	UG110039	388961
	UG120140	UG110003	388956
	UG120142	UG110003	388956
	UG120143	UG110008	383131
	UG120144	UG110069	388956
	UG120145	UG110003	388956
	UG120162	UG110014	383131
	UG120165	UG110014	383131
	COB1103	IITA-TMS-IBA30555	5
	COB1139	IITA-TMS-IBA30555	5
	COB1163	IITA-TMS-IBA30555	5
	COB4100	IITA-TMS-IBA30555	700
	COB427	IITA-TMS-IBA30555	700
	COB452	IITA-TMS-IBA30555	700
	COB474	IITA-TMS-IBA30555	700
	COB475	IITA-TMS-IBA30555	700
	COB477	IITA-TMS-IBA30555	700
	COB479	IITA-TMS-IBA30555	700
	COB5104	NR8212	700
	COB512	NR8212	700
	COB517	NR8212	700
	COB524	NR8212	700
	COB528	NR8212	700
	COB536	NR8212	700
	COB54	NR8212	700
	COB544	NR8212	700
	COB548	NR8212	700
	COB553	NR8212	700
	COB557	NR8212	700
	COB561	NR8212	700
	COB61	NR8083	700
	COB619	NR8083	700
	COB631	NR8083	700
	COB641	NR8083	700
	COB7180	IITA-TMS-IBA30555	721
	COB7197	IITA-TMS-IBA30555	721
	COB725	IITA-TMS-IBA30555	721
	NR110005	IITA-TMS-IBA980581	723
	NR110009	NR010004	39550
	NR110012	NR010004	39550
	NR110014	NR010004	39550
	NR110016	NR010004	39550
	NR110017	NR010004	39550
	NR110021	IITA-TMS-IBA961089A	647
	NR110025	IITA-TMS-IBA961089A	647
	NR110030	IITA-TMS-IBA961089A	647
	NR110036	IITA-TMS-IBA961089A	647
	NR110044	IITA-TMS-IBA972205	39569
	NR110048	TMS911730	39569
	NR110052	IITA-TMS-IBA011335	43929
	NR110072	IITA-TMS-IBA980002	44036
	NR110078	IITA-TMS-IBA961089A	44036
	NR110079	IITA-TMS-IBA961089A	44036
	NR110080	IITA-TMS-IBA011368	4846
	NR110081	IITA-TMS-IBA011368	4846
	NR110083	IITA-TMS-WAR940038	4846
	NR110084	IITA-TMS-IBA961089A	4846
	NR110088	IITA-TMS-IBA961089A	4846
	NR110092	IITA-TMS-IBA961089A	4846
	NR110095	IITA-TMS-IBA961089A	4846
	NR110104	IITA-TMS-IBA980002	4846
	NR110105	IITA-TMS-IBA980002	4846
	NR110108	IITA-TMS-IBA980002	4846
	NR110109	IITA-TMS-IBA980002	4846
	NR110110	IITA-TMS-IBA980002	4846
	NR110112	TMS911730	4852
	NR110118	IITA-TMS-IBA980002	1274
	NR110122	IITA-TMS-IBA011442	1277
	NR110126	IITA-TMS-IBA961089A	1277
	NR110133	IITA-TMS-IBA961089A	1277
	NR110141	IITA-TMS-IBA011368	1279
	NR110143	IITA-TMS-IBA011368	1279
	NR110145	IITA-TMS-IBA961089A	1283
	NR110153	IITA-TMS-IBA961089A	3672
	NR110183	IITA-TMS-IBA011371	43292
	NR110194	IITA-TMS-IBA011442	700
	NR110213	IITA-TMS-IBA980581	1787
	NR110214	IITA-TMS-IBA980581	1787
	NR110106	IITA-TMS-IBA980002	4846
	NR110031	IITA-TMS-IBA961089A	647
	NR110043	IITA-TMS-IBA011368	39558
	NR110077	IITA-TMS-IBA961089A	44036
	COB511	NR8212	700
	UG130012	UG110066	383131
	TMS13F1008P0006	IITA-TMS-IBA940006	24423
	TMS13F1008P0020	IITA-TMS-IBA940006	24423
	TMS13F1024P0002	IITA-TMS-IBA020285	4884
	TMS13F1028P0007	IITA-TMS-IBA930007	489
