Child	Child Id	Mother	Mother Id	Father	Father Id	Pedigree Conflict Score
UG120032	75909	UG110014	70511	UG110014	70511	0.0603876684306488
UG120035	76051	UG110014	70511	UG110014	70511	0.0520912082536577
UG120036	76133	UG110014	70511	UG110014	70511	0.0123182283096901
UG120037	75967	UG110014	70511	UG110014	70511	0.0492617957041847
UG120040	75861	UG110014	70511	UG110014	70511	0.0542063192066528
UG120043	72497	UG110003	70565	UG110003	70565	0.0563547827633744
UG120044	76199	UG110014	70511	UG110014	70511	0.0463545604126829
UG120045	76003	UG110014	70511	UG110014	70511	0.059431560457153
UG120046	76185	UG110014	70511	UG110014	70511	0.047135567216614
UG120055	72423	UG110003	70565	UG110003	70565	0.05417574598657
UG120058	72535	UG110003	70565	UG110003	70565	0.0494174411882421
UG120059	69473	UG110003	70565	UG110003	70565	0.0551290745764219
UG120060	69681	UG110014	70511	UG110014	70511	0.04694656912883
UG120061	76087	UG110003	70565	UG110003	70565	0.0613743496242274
UG120062	72429	UG110003	70565	UG110003	70565	0.0640898074443012
UG120075	76159	UG110003	70565	UG110003	70565	0.0462989727398052
UG120078	76017	UG110039	69873	UG110039	69873	0.0692900342420065
UG120079	72403	UG110003	70565	UG110003	70565	0.0577083425979454
UG120080	72465	UG110003	70565	UG110003	70565	0.0564548405745542
UG120088	76067	UG110017	71121	UG110017	71121	0.0685729532618846
UG120089	72415	UG110003	70565	UG110003	70565	0.0565576777693778
UG120090	72459	UG110003	70565	UG110003	70565	0.0570885400453596
UG120091	72401	UG110003	70565	UG110003	70565	0.0560156979588207
UG120092	72419	UG110003	70565	UG110003	70565	0.0569690265486725
UG120093	69655	UG110003	70565	UG110003	70565	0.055554320273936
UG120001	72421	UG110003	70565	UG110003	70565	0.0682561035264819
UG120004	72395	UG110003	70565	UG110003	70565	0.0797766487303776
UG120006	75973	UG110003	70565	UG110003	70565	0.0673083337039179
UG120017	76149	UG110014	70511	UG110014	70511	0.0506181349223996
UG120021	75829	UG110014	70511	UG110014	70511	0.0485919642460088
UG120022	75899	UG110014	70511	UG110014	70511	0.0482945701961133
UG120023	76103	UG110014	70511	UG110014	70511	0.0477470316182683
UG120024	76061	UG110014	70511	UG110014	70511	0.0578056210254814
UG120025	76097	UG110014	70511	UG110014	70511	0.0420631920665273
UG120026	76033	UG110014	70511	UG110014	70511	0.0628974518610753
UG120027	76081	UG110014	70511	UG110014	70511	0.0111703428647663
UG120028	75907	UG110014	70511	UG110014	70511	0.0541701872192822
UG120031	75911	UG110014	70511	UG110014	70511	0.0637924133944057
UG120104	69425	UG110003	70565	UG110003	70565	0.0414878596522436
UG120111	69341	UG110003	70565	UG110003	70565	0.0464935295948771
UG120112	69381	UG110003	70565	UG110003	70565	0.0496898207853427
UG120113	69463	UG110014	70511	UG110014	70511	0.0503401965580113
UG120115	69523	UG110014	70511	UG110014	70511	0.0518799750967226
UG120120	69347	UG110014	70511	UG110014	70511	0.0570301729888379
UG120121	69509	UG110014	70511	UG110014	70511	0.0503374171743675
UG120122	69627	UG110014	70511	UG110014	70511	0.0297088317694668
UG120123	69491	UG110014	70511	UG110014	70511	0.0491756348112242
UG120124	69531	UG110014	70511	UG110014	70511	0.0756714990883621
UG120125	69445	UG110014	70511	UG110014	70511	0.04827789389425
UG120126	69645	UG110017	71121	UG110017	71121	0.037432738915818
UG120127	69365	UG110017	71121	UG110017	71121	0.0401037265975898
UG120129	69437	UG110017	71121	UG110017	71121	0.0473051096188909
UG120130	69385	UG110017	71121	UG110017	71121	0.0705880064036999
UG120135	69401	UG110014	70511	UG110014	70511	0.0482890114288256
UG120136	69399	UG110039	69873	UG110039	69873	0.0754491483968515
UG120138	69435	UG110039	69873	UG110039	69873	0.0813553386401031
UG120140	69431	UG110003	70565	UG110003	70565	0.0486948014408325
UG120142	69559	UG110003	70565	UG110003	70565	0.048611419931516
UG120143	69649	UG110014	70511	UG110014	70511	0.0589618446213368
UG120144	69443	UG110003	70565	UG110003	70565	0.0444173300128964
UG120145	69361	UG110003	70565	UG110003	70565	0.0444451238493352
UG120162	69403	UG110014	70511	UG110014	70511	0.0520828701027261
UG120165	69429	UG110014	70511	UG110014	70511	0.0511545559656691
COB1103	72175	IITA-TMS-IBA30572	70451	IITA-TMS-IBA30572	70451	0.064995886512207
COB1139	72017	IITA-TMS-IBA30572	70451	IITA-TMS-IBA30572	70451	0.0401426379686041
COB1163	71549	IITA-TMS-IBA30572	70451	IITA-TMS-IBA30572	70451	0.043830880064037
COB4100	71905	IITA-TMS-IBA972205	67933	IITA-TMS-IBA972205	67933	0.0496092186596701
COB427	72191	IITA-TMS-IBA972205	67933	IITA-TMS-IBA972205	67933	0.0487476097300663
COB452	71371	IITA-TMS-IBA972205	67933	IITA-TMS-IBA972205	67933	0.0485474941077066
COB474	71851	IITA-TMS-IBA972205	67933	IITA-TMS-IBA972205	67933	0.0493840885845155
COB475	72289	IITA-TMS-IBA972205	67933	IITA-TMS-IBA972205	67933	0.0560712856316983
COB477	72311	IITA-TMS-IBA972205	67933	IITA-TMS-IBA972205	67933	0.0489477253524259
COB479	72283	IITA-TMS-IBA972205	67933	IITA-TMS-IBA972205	67933	0.0609880152977276
COB5104	71865	IITA-TMS-IBA972205	67933	IITA-TMS-IBA972205	67933	0.0496036598923822
COB512	69869	IITA-TMS-IBA972205	67933	IITA-TMS-IBA972205	67933	0.0478943389513942
COB517	71949	IITA-TMS-IBA972205	67933	IITA-TMS-IBA972205	67933	0.0507848979410326
COB524	69745	IITA-TMS-IBA972205	67933	IITA-TMS-IBA972205	67933	0.0554542624627563
COB528	71495	IITA-TMS-IBA972205	67933	IITA-TMS-IBA972205	67933	0.0477803842219949
COB536	72335	IITA-TMS-IBA972205	67933	IITA-TMS-IBA972205	67933	0.0468965402232401
COB54	72147	IITA-TMS-IBA972205	67933	IITA-TMS-IBA972205	67933	0.0478081780584337
COB544	69727	IITA-TMS-IBA972205	67933	IITA-TMS-IBA972205	67933	0.0473468003735492
COB548	69817	IITA-TMS-IBA972205	67933	IITA-TMS-IBA972205	67933	0.0480805576555343
COB553	69733	IITA-TMS-IBA972205	67933	IITA-TMS-IBA972205	67933	0.0490255480944546
COB557	71483	IITA-TMS-IBA972205	67933	IITA-TMS-IBA972205	67933	0.0485280384221994
COB561	71839	IITA-TMS-IBA972205	67933	IITA-TMS-IBA972205	67933	0.0488143149375194
COB61	71717	IITA-TMS-IBA972205	67933	IITA-TMS-IBA972205	67933	0.0523330146306755
COB619	71615	IITA-TMS-IBA972205	67933	IITA-TMS-IBA972205	67933	0.0777310223684796
COB631	71773	IITA-TMS-IBA972205	67933	IITA-TMS-IBA972205	67933	0.059979099034998
COB641	72023	IITA-TMS-IBA972205	67933	IITA-TMS-IBA972205	67933	0.047874883265887
COB7180	71515	IITA-TMS-IBA980505	69115	IITA-TMS-IBA980505	69115	0.0504207986836839
COB7197	71575	IITA-TMS-IBA980505	69115	IITA-TMS-IBA980505	69115	0.0505986792368924
COB725	72339	IITA-TMS-IBA980505	69115	IITA-TMS-IBA980505	69115	0.0459293147151688
NR110005	69087	IITA-TMS-IBA980581	67849	IITA-TMS-IBA980581	67849	0.0136495530751101
NR110009	68867	NR010004	74217	NR010004	74217	0.0417435629474807
NR110012	69223	NR010004	74217	NR010004	74217	0.0428136256503757
NR110014	69251	NR010004	74217	NR010004	74217	0.0499149508604971
NR110016	69231	NR010004	74217	NR010004	74217	0.0448036643393961
NR110017	68837	NR010004	74217	NR010004	74217	0.0601875528082892
NR110021	72363	IITA-TMS-IBA961089A	68399	IITA-TMS-IBA961089A	68399	0.0446535776226265
NR110025	74565	IITA-TMS-IBA961089A	68399	IITA-TMS-IBA961089A	68399	0.0463490016453951
NR110030	69055	IITA-TMS-IBA961089A	68399	IITA-TMS-IBA961089A	68399	0.0485363765731311
NR110036	68933	IITA-TMS-IBA961089A	68399	IITA-TMS-IBA961089A	68399	0.0433917374483035
NR110044	74495	NR87184	69325	NR87184	69325	0.072989393872015
NR110048	74865	NR87184	69325	NR87184	69325	0.0549706497087206
NR110052	68763	TMS870052	69309	TMS870052	69309	0.0585365989238227
NR110072	74533	TMS000355	72661	TMS000355	72661	0.0721694756970694
NR110078	74993	TMS000355	72661	TMS000355	72661	0.0770500733757282
NR110079	68875	TMS000355	72661	TMS000355	72661	0.0741317205496509
NR110080	75051	IITA-TMS-IBA010090	72057	IITA-TMS-IBA010090	72057	0.0858829545959888
NR110081	68841	IITA-TMS-IBA010090	72057	IITA-TMS-IBA010090	72057	0.0946991595143861
NR110083	69023	IITA-TMS-IBA010090	72057	IITA-TMS-IBA010090	72057	0.0920087161471073
NR110084	69103	IITA-TMS-IBA010090	72057	IITA-TMS-IBA010090	72057	0.0874060568328368
NR110088	68807	IITA-TMS-IBA010090	72057	IITA-TMS-IBA010090	72057	0.0990072041624049
NR110092	75005	IITA-TMS-IBA010090	72057	IITA-TMS-IBA010090	72057	0.0972006047938809
NR110095	69227	IITA-TMS-IBA010090	72057	IITA-TMS-IBA010090	72057	0.0926229599324054
NR110104	71955	IITA-TMS-IBA010090	72057	IITA-TMS-IBA010090	72057	0.0927063414417219
NR110105	69225	IITA-TMS-IBA010090	72057	IITA-TMS-IBA010090	72057	0.0898324587539467
NR110108	74915	IITA-TMS-IBA010090	72057	IITA-TMS-IBA010090	72057	0.0925173433539378
NR110109	69237	IITA-TMS-IBA010090	72057	IITA-TMS-IBA010090	72057	0.0894350068928714
NR110110	68939	IITA-TMS-IBA010090	72057	IITA-TMS-IBA010090	72057	0.092203273002179
NR110112	68815	IITA-TMS-IBA010103	68247	IITA-TMS-IBA010103	68247	0.0781896206697202
NR110118	69119	IITA-TMS-IBA011335	68493	IITA-TMS-IBA011335	68493	0.0429109040779116
NR110122	74705	IITA-TMS-IBA011368	68639	IITA-TMS-IBA011368	68639	0.0776865522301774
NR110126	69035	IITA-TMS-IBA011368	68639	IITA-TMS-IBA011368	68639	0.0454929514830791
NR110133	68967	IITA-TMS-IBA011368	68639	IITA-TMS-IBA011368	68639	0.0466880864499488
NR110141	69071	IITA-TMS-IBA011371	70475	IITA-TMS-IBA011371	70475	0.0461933561613377
NR110143	69085	IITA-TMS-IBA011371	70475	IITA-TMS-IBA011371	70475	0.0651626495308401
NR110145	74791	IITA-TMS-IBA011413	68421	IITA-TMS-IBA011413	68421	0.073417418953173
NR110153	69269	IITA-TMS-IBA011560	68435	IITA-TMS-IBA011560	68435	0.0706185796237826
NR110183	68855	W940006	75065	W940006	75065	0.0431221372348468
NR110194	69189	IITA-TMS-IBA972205	67933	IITA-TMS-IBA972205	67933	0.0668803086227598
NR110213	74745	IITA-TMS-MMM96JW1	68023	IITA-TMS-MMM96JW1	68023	0.0719999332947926
NR110214	75043	IITA-TMS-MMM96JW1	68023	IITA-TMS-MMM96JW1	68023	0.0710632810068039
NR110106	68975	IITA-TMS-IBA010090	72057	IITA-TMS-IBA010090	72057	0.0976592030951217
NR110031	76529	IITA-TMS-IBA961089A	68399	IITA-TMS-IBA961089A	68399	0.0634727842753591
NR110043	74909	NR8212	69323	NR8212	69323	0.0670665273269
NR110077	76409	TMS000355	72661	TMS000355	72661	0.0775364655134078
COB511	72799	IITA-TMS-IBA972205	67933	IITA-TMS-IBA972205	67933	0.0474551963356606
UG130012	74653	UG110014	70511	UG110014	70511	0.0762885222573042
TMS13F1008P0006	77659	IITA-TMS-MM964500	67883	IITA-TMS-MM964500	67883	0.0364988660114733
TMS13F1008P0020	83921	IITA-TMS-MM964500	67883	IITA-TMS-MM964500	67883	0.0390058700582558
TMS13F1024P0002	82919	IITA-TMS-IBA010903	68267	IITA-TMS-IBA010903	68267	0.0591174901053942
TMS13F1028P0007	83635	IITA-TMS-IBA940018	68067	IITA-TMS-IBA940018	68067	0.0342142126562014
TMS13F1034P0019	81691	IITA-TMS-IBA960860	67767	IITA-TMS-IBA960860	67767	0.0484390981455952
TMS13F1050P0008	82577	IITA-TMS-MM970806	68273	IITA-TMS-MM970806	68273	0.0466908658335927
TMS13F1059P0006	78677	IITA-TMS-IBA980196	67893	IITA-TMS-IBA980196	67893	0.0458820651932228
TMS13F1060P0025	90023	IITA-TMS-IBA980196	67893	IITA-TMS-IBA980196	67893	0.0679892826966692
TMS13F1063P0007	81243	IITA-TMS-IBA980505	69115	IITA-TMS-IBA980505	69115	0.0517549028327479
TMS13F1063P0009	83599	IITA-TMS-IBA980505	69115	IITA-TMS-IBA980505	69115	0.0533780628807755
