Project Details		Sample Details									Organism Details				
Project Name	User ID	Plate Name	Well	Sample Name	Pedigree	Population	Stock Number	Sample DNA Concentration(ng/ul)	Sample Volume(ul)	Sample DNA Mass(ng)	Kingdom	Genus	Species	Common Name	Subspecies	Variety	Seed Lot
NEXTGENCASSAVA	I.Rabbi@cgiar.org	CASSAVA_GS_74	A01								Plantae	Manihot	esculenta				
NEXTGENCASSAVA	I.Rabbi@cgiar.org	CASSAVA_GS_74	A02								Plantae	Manihot	esculenta				
NEXTGENCASSAVA	I.Rabbi@cgiar.org	CASSAVA_GS_74	A03								Plantae	Manihot	esculenta				
NEXTGENCASSAVA	I.Rabbi@cgiar.org	CASSAVA_GS_74	A04								Plantae	Manihot	esculenta				
NEXTGENCASSAVA	I.Rabbi@cgiar.org	CASSAVA_GS_74	A05								Plantae	Manihot	esculenta				
NEXTGENCASSAVA	I.Rabbi@cgiar.org	CASSAVA_GS_74	A06								Plantae	Manihot	esculenta				
NEXTGENCASSAVA	I.Rabbi@cgiar.org	CASSAVA_GS_74	A07								Plantae	Manihot	esculenta				
NEXTGENCASSAVA	I.Rabbi@cgiar.org	CASSAVA_GS_74	A08								Plantae	Manihot	esculenta				
NEXTGENCASSAVA	I.Rabbi@cgiar.org	CASSAVA_GS_74	A09								Plantae	Manihot	esculenta				
NEXTGENCASSAVA	I.Rabbi@cgiar.org	CASSAVA_GS_74	A10								Plantae	Manihot	esculenta				
NEXTGENCASSAVA	I.Rabbi@cgiar.org	CASSAVA_GS_74	A11								Plantae	Manihot	esculenta				
NEXTGENCASSAVA	I.Rabbi@cgiar.org	CASSAVA_GS_74	A12								Plantae	Manihot	esculenta				
NEXTGENCASSAVA	I.Rabbi@cgiar.org	CASSAVA_GS_74	B01								Plantae	Manihot	esculenta				
NEXTGENCASSAVA	I.Rabbi@cgiar.org	CASSAVA_GS_74	B02								Plantae	Manihot	esculenta				
NEXTGENCASSAVA	I.Rabbi@cgiar.org	CASSAVA_GS_74	B03								Plantae	Manihot	esculenta				
NEXTGENCASSAVA	I.Rabbi@cgiar.org	CASSAVA_GS_74	B04								Plantae	Manihot	esculenta				
NEXTGENCASSAVA	I.Rabbi@cgiar.org	CASSAVA_GS_74	B05								Plantae	Manihot	esculenta				
NEXTGENCASSAVA	I.Rabbi@cgiar.org	CASSAVA_GS_74	B06								Plantae	Manihot	esculenta				
NEXTGENCASSAVA	I.Rabbi@cgiar.org	CASSAVA_GS_74	B07								Plantae	Manihot	esculenta				
NEXTGENCASSAVA	I.Rabbi@cgiar.org	CASSAVA_GS_74	B08								Plantae	Manihot	esculenta				
NEXTGENCASSAVA	I.Rabbi@cgiar.org	CASSAVA_GS_74	B09								Plantae	Manihot	esculenta				
NEXTGENCASSAVA	I.Rabbi@cgiar.org	CASSAVA_GS_74	B10								Plantae	Manihot	esculenta				
NEXTGENCASSAVA	I.Rabbi@cgiar.org	CASSAVA_GS_74	B11								Plantae	Manihot	esculenta				
