studyYear	programDbId	programName	programDescription	studyDbId	studyName	studyDescription	studyDesign	plotWidth	plotLength	fieldSize	fieldTrialIsPlannedToBeGenotyped	fieldTrialIsPlannedToCross	plantingDate	harvestDate	locationDbId	locationName	germplasmDbId	germplasmName	germplasmSynonyms	observationLevel	observationUnitDbId	observationUnitName	replicate	blockNumber	plotNumber	rowNumber	colNumber	entryType	plantNumber	plantedSeedlotStockDbId	plantedSeedlotStockUniquename	plantedSeedlotCurrentCount	plantedSeedlotCurrentWeightGram	plantedSeedlotBoxName	plantedSeedlotTransactionCount	plantedSeedlotTransactionWeight	plantedSeedlotTransactionDescription	availableGermplasmSeedlotUniquenames	DMCP	FRW	FSWMIK	HIV	notes
2014	134	test	test	141	trial2 NaCRRI	another trial for solGS	CRD								23	test_location	38878	UG120001		plot	39998	UG120001_block:1_plot:TP1_2012_NaCRRI	1	1	1			test											33	9	11	0.45	
2014	134	test	test	141	trial2 NaCRRI	another trial for solGS	CRD								23	test_location	38879	UG120002		plot	39999	UG120002_block:1_plot:TP2_2012_NaCRRI	1	1	2			test											37.1	3	9	0.25	
2014	134	test	test	141	trial2 NaCRRI	another trial for solGS	CRD								23	test_location	38880	UG120003		plot	40000	UG120003_block:1_plot:TP3_2012_NaCRRI	1	1	3			test											39.4	4	10	0.29	
2014	134	test	test	141	trial2 NaCRRI	another trial for solGS	CRD								23	test_location	38881	UG120004		plot	40001	UG120004_block:1_plot:TP4_2012_NaCRRI	1	1	4			test											42.1	4.5	7	0.39	
2014	134	test	test	141	trial2 NaCRRI	another trial for solGS	CRD								23	test_location	38882	UG120005		plot	40002	UG120005_block:1_plot:TP5_2012_NaCRRI	1	1	5			test												8.6	10	0.46	
2014	134	test	test	141	trial2 NaCRRI	another trial for solGS	CRD								23	test_location	38883	UG120006		plot	40003	UG120006_block:1_plot:TP6_2012_NaCRRI	1	1	6			test											24.9	16	9	0.64	
2014	134	test	test	141	trial2 NaCRRI	another trial for solGS	CRD								23	test_location	38884	UG120007		plot	40004	UG120007_block:1_plot:TP7_2012_NaCRRI	1	1	7			test											34		2		
2014	134	test	test	141	trial2 NaCRRI	another trial for solGS	CRD								23	test_location	38885	UG120008		plot	40005	UG120008_block:1_plot:TP8_2012_NaCRRI	1	1	8			test												9	12	0.43	
2014	134	test	test	141	trial2 NaCRRI	another trial for solGS	CRD								23	test_location	38886	UG120009		plot	40006	UG120009_block:1_plot:TP9_2012_NaCRRI	1	1	9			test											29.1	2	8	0.2	
2014	134	test	test	141	trial2 NaCRRI	another trial for solGS	CRD								23	test_location	38887	UG120010		plot	40007	UG120010_block:1_plot:TP10_2012_NaCRRI	1	1	10			test											30.6		9		
2014	134	test	test	141	trial2 NaCRRI	another trial for solGS	CRD								23	test_location	38888	UG120011		plot	40008	UG120011_block:1_plot:TP11_2012_NaCRRI	1	1	11			test											37	13	12	0.52	
2014	134	test	test	141	trial2 NaCRRI	another trial for solGS	CRD								23	test_location	38889	UG120012		plot	40009	UG120012_block:1_plot:TP12_2012_NaCRRI	1	1	12			test											34	18	16	0.53	
2014	134	test	test	141	trial2 NaCRRI	another trial for solGS	CRD								23	test_location	38890	UG120013		plot	40010	UG120013_block:1_plot:TP13_2012_NaCRRI	1	1	13			test											33.9	15	20	0.43	
