	DMCP
UG120001	26.11
UG120002	26.1
UG120004	26.61
UG120005	17.09
UG120006	25.71
UG120007	30.41
UG120008	25.67
UG120009	20.42
UG120011	21.04
UG120012	22.16
UG120013	20.96
UG120014	17.83
UG120015	19.82
UG120017	22.77
UG120018	24.35
UG120019	20.06
UG120020	23.58
UG120021	20.93
UG120022	28.68
UG120024	30
UG120025	31.02
UG120026	21.92
UG120027	14.18
UG120028	15.95
UG120029	21.32
UG120030	24.1
UG120031	29.09
UG120033	24.09
UG120034	24.59
UG120035	25.46
UG120036	30.25
UG120037	32.92
UG120039	21.92
UG120040	27.32
UG120046	26.99
UG120048	21.5
UG120053	17.02
UG120055	26.28
UG120057	25.07
UG120058	20.53
UG120060	17.4
UG120061	20.65
UG120062	15.58
UG120063	25.31
UG120064	29.02
UG120065	15.78
UG120067	27.88
UG120069	30.14
UG120070	29.4
UG120071	26.91
UG120072	26.67
UG120074	18.61
UG120076	27.8
UG120078	29.14
UG120080	28.17
UG120081	21.78
UG120084	28.42
UG120085	30.07
UG120087	27
UG120088	28.1
UG120089	15.65
UG120093	25.54
UG120095	28.51
UG120096	28.32
UG120097	14.73
UG120098	20.59
UG120099	29.6
UG120101	27.97
UG120102	21.52
UG120103	21.52
UG120105	18.12
UG120106	24.85
UG120107	22.82
UG120108	27.79
UG120109	19.68
UG120113	27.58
UG120115	22.66
UG120116	14.24
UG120120	30.1
UG120121	17.85
UG120122	19
UG120126	18.54
UG120132	19.57
UG120133	33.32
UG120135	23.06
UG120137	25.86
UG120141	19.91
UG120143	29.76
UG120144	18.18
UG120146	22.75
UG120148	27.26
UG120151	28.2
UG120153	28.18
UG120154	25.9
UG120156	23.52
UG120157	26.63
UG120158	28.68
UG120160	34.42
UG120161	22.43
UG120162	28.68
UG120163	18.56
UG120164	26.74
UG120165	21.78
UG120166	25.61
UG120167	28.03
UG120169	21.85
UG120170	28.9
UG120171	16.52
UG120172	27.6
UG120173	24.93
UG120174	27.49
UG120175	25.94
UG120176	18.02
UG120177	27.22
UG120178	29.88
UG120179	24.84
UG120181	22.21
UG120184	27.89
UG120185	23.35
UG120186	28.73
UG120187	21.17
UG120189	25.83
UG120190	23.88
UG120191	24.01
UG120192	26.06
UG120193	31.71
UG120194	31.72
UG120195	26.13
UG120196	28.32
UG120198	34.33
UG120199	24.7
UG120202	17.32
UG120205	18.2
UG120207	39.9
UG120208	32.22
UG120210	29.22
UG120211	28.28
UG120213	17.06
UG120215	20.86
UG120218	21.62
UG120219	29.3
UG120220	21.45
UG120221	26.45
UG120222	23.81
UG120223	23.51
UG120225	19.76
UG120226	24.43
UG120227	29.07
UG120228	24.89
UG120229	16.3
UG120234	19.09
UG120235	25.25
UG120238	20.33
UG120239	19.81
UG120242	21.73
UG120243	23.07
UG120244	23.83
UG120245	22.89
UG120246	24.68
UG120247	32.78
UG120248	30.39
UG120251	27.37
UG120253	24.33
UG120257	26.89
UG120260	23.76
UG120261	17.75
UG120262	26.65
UG120264	26.72
UG120266	21.4
UG120267	28.49
UG120268	26.57
UG120270	30.31
UG120272	27.86
UG120274	29.76
UG120278	24.65
UG120280	35.93
UG120283	24.42
UG120284	20.03
UG120286	28.02
UG120287	25.76
UG120288	26.02
UG120289	30.68
