	DMCP
UG120001	29.55
UG120002	31.6
UG120004	34.36
UG120005	17.09
UG120006	25.3
UG120007	32.2
UG120008	25.67
UG120009	24.76
UG120011	29.02
UG120012	28.08
UG120013	27.43
UG120014	24.36
UG120015	29.46
UG120017	31.03
UG120018	29.32
UG120019	27.28
UG120020	27.74
UG120021	30.07
UG120022	35.84
UG120024	33.65
UG120025	34.26
UG120026	33.91
UG120027	26.54
UG120028	28.17
UG120029	30.66
UG120030	32.75
UG120031	33.09
UG120033	28.45
UG120034	31.45
UG120035	33.18
UG120036	34.38
UG120037	37.86
UG120039	24.96
UG120040	32.91
UG120046	30.05
UG120048	28.85
UG120053	17.02
UG120055	26.28
UG120057	25.84
UG120058	28.77
UG120060	20.9
UG120061	26.82
UG120062	29.29
UG120063	30.8
UG120064	34.56
UG120065	26.29
UG120067	31.34
UG120069	30.67
UG120070	33.75
UG120071	27.11
UG120072	27.44
UG120074	21
UG120076	29
UG120078	35.72
UG120080	27.39
UG120081	20.74
UG120084	34.81
UG120085	30.07
UG120087	30.8
UG120088	32.45
UG120089	22.32
UG120093	25.87
UG120095	34.66
UG120096	35.46
UG120097	27.97
UG120098	27.74
UG120099	29.6
UG120101	30.68
UG120102	25.66
UG120103	24.91
UG120105	27.61
UG120106	31.78
UG120107	28.21
UG120108	28.8
UG120109	26.49
UG120113	31.89
UG120115	30.28
UG120116	25.72
UG120120	29.95
UG120121	21.48
UG120122	31.7
UG120126	21.47
UG120132	29.93
UG120133	34.91
UG120135	27.33
UG120137	29.78
UG120141	29.51
UG120143	28.03
UG120144	28.29
UG120146	34.77
UG120148	31.48
UG120151	27.9
UG120153	32.14
UG120154	26
UG120156	30.71
UG120157	33.37
UG120158	28.68
UG120160	37.16
UG120161	22.43
UG120162	35.24
UG120163	30.33
UG120164	29.02
UG120165	21.78
UG120166	25.61
UG120167	28.96
UG120169	29.98
UG120170	32.75
UG120171	24.21
UG120172	27.6
UG120173	30.91
UG120174	35.3
UG120175	32.27
UG120176	28.36
UG120177	30.96
UG120178	27.24
UG120179	31.87
UG120181	29.3
UG120184	23.64
UG120185	23.35
UG120186	33.81
UG120187	32.84
UG120189	35.31
UG120190	33.04
UG120191	32.26
UG120192	33.53
UG120193	38.61
UG120194	36.66
UG120195	33.96
UG120196	28.32
UG120198	37.91
UG120199	27.8
UG120202	25.11
UG120205	27.3
UG120207	39.95
UG120208	35.51
UG120210	32.31
UG120211	28.39
UG120213	27.53
UG120215	29.63
UG120218	28.36
UG120219	36.1
UG120220	31.67
UG120221	34.73
UG120222	24.16
UG120223	26.86
UG120225	19.76
UG120226	30.02
UG120227	36.19
UG120228	32.7
UG120229	23.9
UG120234	31.05
UG120235	29.23
UG120238	27.96
UG120239	26.51
UG120242	21.73
UG120243	27.34
UG120244	21.77
UG120245	28.2
UG120246	29.64
UG120247	35.69
UG120248	36.95
UG120251	36.59
UG120253	32.27
UG120257	34.5
UG120260	32.68
UG120261	27.62
UG120262	36.92
UG120264	30.86
UG120266	29.55
UG120267	36.39
UG120268	33.89
UG120270	35.35
UG120272	36.28
UG120274	33.78
UG120278	26.57
UG120280	35.61
UG120283	22.56
UG120284	31.46
UG120286	33.16
UG120287	29.38
UG120288	27.51
UG120289	37.69
UG120003	39.4
UG120010	30.6
UG120016	36.9
UG120023	33
UG120032	41.6
UG120038	24.2
UG120041	25.8
UG120042	26.7
UG120043	29.2
UG120044	38.8
UG120045	40.8
UG120047	38.4
UG120050	33.1
UG120051	25.4
UG120052	39.3
UG120056	34.2
UG120059	32
UG120066	42.1
UG120073	26.4
UG120077	22.2
UG120082	32.9
UG120083	34.7
UG120086	35.9
UG120090	34.2
UG120091	32.5
UG120092	30.1
UG120100	23.6
UG120104	20.5
UG120110	37
UG120111	31.4
UG120114	20.8
UG120117	33.7
UG120119	36.3
UG120123	40.7
UG120124	36.2
UG120125	32.3
UG120127	32.7
UG120128	28.2
UG120129	30.9
UG120130	37.5
UG120131	18.3
UG120134	38.1
UG120136	32.9
UG120138	33.1
UG120139	33
UG120140	31.2
UG120142	32.3
UG120145	28.4
UG120147	36.4
UG120149	28.4
UG120155	36.2
UG120168	26.8
UG120180	41.4
UG120197	43.6
UG120200	38.5
UG120201	29.6
UG120203	36.9
UG120206	37.4
UG120212	24.8
UG120214	28.2
UG120216	37.7
UG120217	31.2
UG120224	30.9
UG120230	41.9
UG120231	29
UG120232	32.9
UG120237	27
UG120240	31
UG120241	40.3
UG120250	32.2
UG120252	34.4
UG120254	37
UG120255	23.8
UG120258	38.2
UG120259	35
UG120263	32.2
UG120269	34.6
UG120271	38
UG120273	24.5
UG120276	38.3
UG120277	23.6
UG120279	37.5
UG120282	35.2
UG120285	31.5
