	FRW
UG120001	12.12
UG120002	3.56
UG120004	5.66
UG120005	5.69
UG120006	15.18
UG120007	1.94
UG120008	8.22
UG120009	1.57
UG120011	9.69
UG120012	12.02
UG120013	11.18
UG120014	3.62
UG120015	2.48
UG120017	4.63
UG120018	2.67
UG120019	4.12
UG120020	7.82
UG120021	2.46
UG120022	7.8
UG120024	4.48
UG120025	5.51
UG120026	1.87
UG120027	6.46
UG120028	3.08
UG120029	6.44
UG120030	3.92
UG120031	1.74
UG120033	11.17
UG120034	8.31
UG120035	5.72
UG120036	5.08
UG120037	4.13
UG120039	3.65
UG120040	3.82
UG120042	6.11
UG120046	2.54
UG120048	3.12
UG120051	1.5
UG120053	6.9
UG120055	0.69
UG120057	13.88
UG120058	1.8
UG120060	1.75
UG120061	8.38
UG120062	6.12
UG120063	9.24
UG120064	9.43
UG120065	5.08
UG120067	4.86
UG120069	17.41
UG120070	7.57
UG120071	11.43
UG120072	14.92
UG120074	16.32
UG120076	2.86
UG120078	2.99
UG120080	9.47
UG120081	1.72
UG120084	5.7
UG120085	4.57
UG120087	3.85
UG120088	3.08
UG120089	5.96
UG120093	3.91
UG120095	2.23
UG120096	8.75
UG120097	4.53
UG120098	5.41
UG120099	2.6
UG120101	4.24
UG120102	2.58
UG120103	1.49
UG120105	3
UG120106	4.14
UG120107	4.26
UG120108	3.73
UG120109	12.25
UG120113	6.03
UG120115	8.71
UG120116	5.53
UG120120	6.21
UG120121	1.09
UG120122	1.47
UG120126	2.3
UG120128	3.44
UG120132	8.31
UG120133	5.45
UG120135	9.54
UG120137	7.3
UG120141	1.64
UG120143	10.46
UG120144	3.15
UG120146	8.7
UG120148	6.02
UG120151	3.82
UG120153	6.31
UG120154	5.05
UG120156	3.94
UG120157	3.27
UG120158	2.6
UG120160	3.54
UG120161	4.16
UG120162	2.35
UG120163	2.66
UG120164	6.49
UG120165	2.36
UG120166	6.95
UG120167	5.02
UG120169	1.89
UG120170	6.71
UG120171	0.35
UG120172	6.42
UG120173	7.5
UG120174	3.9
UG120175	3.46
UG120176	3.29
UG120177	6.3
UG120178	4.79
UG120179	2.47
UG120181	4.77
UG120184	9.94
UG120185	4.16
UG120186	1.74
UG120187	5.56
UG120189	6.29
UG120190	6.85
UG120191	2.38
UG120192	4.77
UG120193	11.37
UG120194	6.63
UG120195	4.8
UG120196	9.99
UG120198	8.5
UG120199	6.75
UG120202	0.74
UG120205	1.74
UG120207	5.06
UG120208	7
UG120210	3.55
UG120211	9.94
UG120213	2.5
UG120215	1.06
UG120218	5.04
UG120219	6.97
UG120220	7.61
UG120221	18.15
UG120222	6.53
UG120223	8.36
UG120225	2.71
UG120226	4.13
UG120228	5.7
UG120229	1.28
UG120231	1.5
UG120234	2.77
UG120235	3.09
UG120238	2.92
UG120239	5.6
UG120242	4.8
UG120243	11.85
UG120244	3.33
UG120245	4.54
UG120246	1.98
UG120247	6.8
UG120248	3.24
UG120251	11.52
UG120253	11.58
UG120257	4.02
UG120260	5.48
UG120261	1.7
UG120262	3.9
UG120264	18.54
UG120266	2.54
UG120267	5.47
UG120268	8.12
UG120270	1.62
UG120272	3
UG120274	1.58
UG120278	11.61
UG120280	5.94
UG120283	6.71
UG120284	4.26
UG120286	6.34
UG120287	1.32
UG120288	8.59
UG120289	6.8
UG120003	4
UG120016	4
UG120023	0.1
UG120032	0.8
UG120038	0.9
UG120041	1.9
UG120043	5.8
UG120044	2.5
UG120045	2.5
UG120047	2
UG120049	1
UG120050	2
UG120052	0.2
UG120056	0.4
UG120059	1
UG120066	10
UG120068	3
UG120073	12
UG120075	0.1
UG120077	2
UG120082	2
UG120083	3
UG120086	2
UG120090	4.5
UG120091	5.3
UG120092	6.1
UG120100	2.5
UG120104	2
UG120110	2.4
UG120111	0.9
UG120112	4.4
UG120114	1.4
UG120117	2.5
UG120118	3.4
UG120119	1.8
UG120123	2.3
UG120124	6.3
UG120125	2.4
UG120127	1.5
UG120129	1.4
UG120130	4.4
UG120131	0.6
UG120134	9
UG120136	2
UG120138	3
UG120139	1
UG120140	2
UG120142	0.6
UG120145	1
UG120147	0.5
UG120149	3
UG120155	4.4
UG120168	0.1
UG120180	1.5
UG120182	1.1
UG120197	0.9
UG120200	2.5
UG120201	7
UG120203	4
UG120206	2
UG120212	3
UG120214	1
UG120216	3
UG120217	1
UG120224	1.3
UG120227	5.1
UG120230	1.6
UG120232	3.2
UG120233	0.1
UG120237	0.4
UG120240	3.5
UG120249	4
UG120250	1
UG120252	1
UG120254	3
UG120255	1.5
UG120258	1.5
UG120259	1
UG120263	1
UG120269	0.3
UG120271	0.8
UG120273	1.1
UG120276	0.7
UG120277	3
UG120279	10.1
UG120282	7
UG120285	0.2
