	DMCP
UG120178	2.39
UG120194	2.35
UG120207	2.12
UG120276	2.04
UG120280	1.96
UG120198	1.8
UG120084	1.75
UG120193	1.74
UG120160	1.66
UG120037	1.63
UG120172	1.62
UG120279	1.61
UG120085	1.54
UG120208	1.49
UG120152	1.49
UG120216	1.49
UG120263	1.49
UG120170	1.44
UG120095	1.43
UG120166	1.39
UG120180	1.38
UG120167	1.37
UG120252	1.36
UG120221	1.35
UG120071	1.32
UG120004	1.3
UG120247	1.3
UG120186	1.29
UG120251	1.29
UG120108	1.28
UG120153	1.26
UG120138	1.25
UG120224	1.25
UG120199	1.23
UG120024	1.21
UG120151	1.21
UG120211	1.21
UG120136	1.19
UG120143	1.16
UG120154	1.16
UG120001	1.14
UG120272	1.14
UG120008	1.09
UG120264	1.09
UG120228	1.08
UG120155	1.07
UG120056	1.06
UG120086	1.05
UG120083	1.04
UG120177	1.01
UG120157	0.99
UG120179	0.99
UG120184	0.96
UG120082	0.96
UG120120	0.95
UG120006	0.92
UG120241	0.91
UG120137	0.89
UG120226	0.88
UG120047	0.88
UG120034	0.87
UG120044	0.85
UG120031	0.84
UG120107	0.84
UG120067	0.83
UG120227	0.83
UG120190	0.81
UG120119	0.81
UG120036	0.77
UG120072	0.74
UG120046	0.73
UG120106	0.73
UG120147	0.73
UG120025	0.72
UG120129	0.71
UG120197	0.7
UG120131	0.68
UG120277	0.65
UG120096	0.64
UG120205	0.64
UG120057	0.63
UG120070	0.63
UG120257	0.63
UG120273	0.62
UG120007	0.61
UG120192	0.6
UG120278	0.58
UG120173	0.56
UG120210	0.56
UG120248	0.55
UG120168	0.55
UG120022	0.54
UG120244	0.5
UG120076	0.48
UG120185	0.48
UG120289	0.48
UG120114	0.48
UG120068	0.47
UG120128	0.46
UG120181	0.45
UG120259	0.43
UG120088	0.42
UG120287	0.42
UG120149	0.42
UG120256	0.42
UG120156	0.4
UG120189	0.38
UG120033	0.37
UG120195	0.37
UG120267	0.36
UG120288	0.36
UG120134	0.36
UG120078	0.35
UG120101	0.35
UG120230	0.34
UG120245	0.32
UG120191	0.29
UG120077	0.26
UG120182	0.26
UG120016	0.25
UG120026	0.23
UG120130	0.23
UG120206	0.21
UG120040	0.19
UG120141	0.19
UG120017	0.17
UG120261	0.16
UG120087	0.15
UG120283	0.15
UG120002	0.1
UG120021	0.09
UG120111	0.09
UG120113	0.08
UG120069	0.06
UG120223	0.04
UG120023	0.04
UG120050	0.01
UG120063	0
UG120102	0
UG120158	-0.02
UG120159	-0.02
UG120103	-0.03
UG120133	-0.03
UG120049	-0.03
UG120219	-0.05
UG120238	-0.06
UG120268	-0.06
UG120045	-0.06
UG120204	-0.06
UG120250	-0.07
UG120258	-0.08
UG120217	-0.09
UG120237	-0.1
UG120122	-0.12
UG120231	-0.12
UG120262	-0.15
UG120127	-0.15
UG120035	-0.17
UG120064	-0.18
UG120171	-0.18
UG120246	-0.2
UG120005	-0.21
UG120018	-0.22
UG120099	-0.22
UG120161	-0.24
UG120032	-0.24
UG120123	-0.26
UG120255	-0.28
UG120196	-0.29
UG120240	-0.29
UG120110	-0.29
UG120009	-0.3
UG120100	-0.32
UG120162	-0.34
UG120218	-0.34
UG120075	-0.37
UG120282	-0.38
UG120132	-0.4
UG120135	-0.4
UG120148	-0.41
UG120254	-0.41
UG120125	-0.41
UG120260	-0.43
UG120048	-0.44
UG120117	-0.44
UG120164	-0.45
UG120201	-0.45
UG120200	-0.46
UG120010	-0.47
UG120165	-0.48
UG120270	-0.48
UG120140	-0.49
UG120249	-0.49
UG120222	-0.55
UG120286	-0.55
UG120285	-0.56
UG120220	-0.57
UG120038	-0.58
UG120146	-0.6
UG120104	-0.63
UG120232	-0.65
UG120266	-0.66
UG120187	-0.68
UG120253	-0.68
UG120274	-0.68
UG120028	-0.69
UG120081	-0.7
UG120051	-0.7
UG120142	-0.7
UG120109	-0.74
UG120029	-0.75
UG120118	-0.76
UG120234	-0.77
UG120169	-0.78
UG120030	-0.79
UG120269	-0.8
UG120139	-0.81
UG120126	-0.82
UG120284	-0.84
UG120015	-0.85
UG120163	-0.85
UG120073	-0.86
UG120174	-0.88
UG120229	-0.91
UG120242	-0.92
UG120115	-0.98
UG120203	-0.99
UG120061	-1.01
UG120074	-1.02
UG120124	-1.02
UG120175	-1.03
UG120144	-1.06
UG120243	-1.06
UG120225	-1.08
UG120027	-1.11
UG120062	-1.11
UG120003	-1.14
UG120271	-1.14
UG120121	-1.16
UG120235	-1.19
UG120145	-1.22
UG120098	-1.26
UG120014	-1.28
UG120215	-1.33
UG120039	-1.36
UG120055	-1.36
UG120080	-1.36
UG120112	-1.36
UG120066	-1.37
UG120059	-1.4
UG120209	-1.45
UG120233	-1.47
UG120202	-1.48
UG120090	-1.49
UG120116	-1.51
UG120043	-1.56
UG120065	-1.6
UG120212	-1.6
UG120012	-1.61
UG120041	-1.61
UG120052	-1.61
UG120013	-1.66
UG120214	-1.66
UG120092	-1.69
UG120091	-1.7
UG120239	-1.73
UG120060	-1.76
UG120093	-1.77
UG120105	-1.82
UG120020	-1.86
UG120089	-1.87
UG120042	-1.88
UG120058	-1.93
UG120213	-2.03
UG120011	-2.04
UG120053	-2.09
UG120079	-2.16
UG120097	-2.42
UG120019	-2.48
UG120176	-2.65
