	DMCP
UG120084	1.81
UG120037	1.69
UG120085	1.59
UG120071	1.38
UG120004	1.36
UG120024	1.26
UG120001	1.2
UG120008	1.15
UG120086	1.11
UG120082	1.01
UG120006	0.97
UG120034	0.92
UG120044	0.9
UG120031	0.89
UG120067	0.89
UG120036	0.82
UG120072	0.79
UG120046	0.78
UG120025	0.77
UG120057	0.68
UG120070	0.68
UG120007	0.66
UG120022	0.59
UG120076	0.53
UG120033	0.42
UG120078	0.41
UG120077	0.32
UG120016	0.3
UG120026	0.28
UG120040	0.24
UG120017	0.23
UG120002	0.15
UG120021	0.15
UG120069	0.12
UG120023	0.09
UG120063	0.05
UG120049	0.03
UG120035	-0.12
UG120064	-0.12
UG120005	-0.16
UG120018	-0.17
UG120032	-0.19
UG120009	-0.25
UG120048	-0.39
UG120010	-0.42
UG120038	-0.53
UG120028	-0.64
UG120081	-0.64
UG120051	-0.64
UG120029	-0.7
UG120030	-0.74
UG120015	-0.8
UG120073	-0.81
UG120061	-0.96
UG120074	-0.97
UG120027	-1.05
UG120062	-1.06
UG120003	-1.09
UG120014	-1.23
UG120055	-1.3
UG120039	-1.31
UG120080	-1.31
UG120066	-1.32
UG120059	-1.35
UG120043	-1.51
UG120065	-1.55
UG120012	-1.56
UG120013	-1.61
UG120060	-1.7
UG120020	-1.81
UG120042	-1.83
UG120058	-1.88
UG120011	-1.98
UG120053	-2.03
UG120079	-2.11
UG120019	-2.43
