	DMCP
UG120037	1.67
UG120004	1.34
UG120024	1.24
UG120001	1.18
UG120008	1.13
UG120006	0.95
UG120034	0.9
UG120044	0.88
UG120031	0.87
UG120036	0.8
UG120046	0.76
UG120025	0.75
UG120007	0.64
UG120022	0.57
UG120033	0.4
UG120016	0.28
UG120026	0.26
UG120040	0.22
UG120017	0.21
UG120002	0.13
UG120021	0.13
UG120023	0.07
UG120049	0.01
UG120035	-0.13
UG120005	-0.18
UG120018	-0.19
UG120032	-0.21
UG120009	-0.27
UG120048	-0.41
UG120010	-0.44
UG120038	-0.55
UG120028	-0.66
UG120051	-0.66
UG120029	-0.72
UG120030	-0.76
UG120015	-0.82
UG120027	-1.07
UG120003	-1.11
UG120014	-1.25
UG120055	-1.32
UG120039	-1.33
UG120043	-1.53
UG120012	-1.58
UG120013	-1.63
UG120020	-1.83
UG120042	-1.85
UG120011	-2
UG120053	-2.05
UG120019	-2.45
