	FRW
UG120221	5.54
UG120001	4.4
UG120071	3.86
UG120193	3.72
UG120057	3.36
UG120072	3.22
UG120278	2.75
UG120006	2.69
UG120277	2.6
UG120264	2.54
UG120184	2.45
UG120109	2.23
UG120253	2.17
UG120223	2.07
UG120114	2.07
UG120263	2
UG120170	1.93
UG120252	1.93
UG120251	1.92
UG120172	1.84
UG120132	1.83
UG120260	1.8
UG120173	1.7
UG120074	1.66
UG120187	1.62
UG120034	1.58
UG120004	1.54
UG120008	1.54
UG120196	1.54
UG120208	1.51
UG120180	1.51
UG120243	1.47
UG120167	1.44
UG120250	1.41
UG120247	1.36
UG120283	1.36
UG120073	1.36
UG120143	1.34
UG120033	1.33
UG120113	1.33
UG120146	1.33
UG120230	1.33
UG120194	1.32
UG120136	1.27
UG120155	1.18
UG120047	1.16
UG120240	1.08
UG120135	1.03
UG120244	1.02
UG120086	1.01
UG120056	1.01
UG120147	0.99
UG120159	0.92
UG120064	0.88
UG120262	0.88
UG120195	0.85
UG120288	0.81
UG120118	0.81
UG120268	0.79
UG120257	0.78
UG120085	0.74
UG120255	0.74
UG120256	0.74
UG120241	0.74
UG120096	0.71
UG120190	0.71
UG120134	0.71
UG120022	0.7
UG120153	0.69
UG120211	0.68
UG120154	0.67
UG120084	0.66
UG120046	0.65
UG120045	0.65
UG120111	0.64
UG120205	0.62
UG120156	0.61
UG120239	0.61
UG120259	0.61
UG120166	0.59
UG120267	0.59
UG120204	0.56
UG120177	0.55
UG120245	0.55
UG120106	0.54
UG120115	0.53
UG120197	0.53
UG120149	0.52
UG120238	0.5
UG120063	0.49
UG120282	0.47
UG120137	0.46
UG120050	0.44
UG120101	0.38
UG120077	0.36
UG120117	0.36
UG120048	0.35
UG120076	0.35
UG120276	0.34
UG120067	0.3
UG120082	0.3
UG120152	0.28
UG120142	0.28
UG120032	0.27
UG120157	0.25
UG120228	0.23
UG120229	0.22
UG120119	0.21
UG120069	0.2
UG120226	0.15
UG120128	0.14
UG120131	0.14
UG120081	0.13
UG120178	0.13
UG120280	0.13
UG120035	0.12
UG120192	0.12
UG120258	0.12
UG120078	0.1
UG120201	0.1
UG120038	0.09
UG120127	0.07
UG120140	0.06
UG120037	0.05
UG120070	0.04
UG120002	-0.01
UG120025	-0.03
UG120120	-0.03
UG120110	-0.03
UG120279	-0.04
UG120088	-0.1
UG120044	-0.1
UG120138	-0.11
UG120028	-0.12
UG120151	-0.13
UG120217	-0.13
UG120141	-0.15
UG120049	-0.15
UG120066	-0.16
UG120198	-0.19
UG120186	-0.22
UG120237	-0.22
UG120130	-0.23
UG120024	-0.24
UG120013	-0.25
UG120123	-0.25
UG120095	-0.26
UG120185	-0.27
UG120018	-0.29
UG120129	-0.29
UG120087	-0.3
UG120289	-0.3
UG120222	-0.31
UG120160	-0.32
UG120164	-0.32
UG120218	-0.32
UG120233	-0.33
UG120227	-0.35
UG120179	-0.36
UG120207	-0.36
UG120108	-0.37
UG120040	-0.38
UG120148	-0.38
UG120005	-0.4
UG120042	-0.4
UG120199	-0.4
UG120210	-0.4
UG120216	-0.4
UG120162	-0.44
UG120273	-0.44
UG120212	-0.45
UG120043	-0.47
UG120103	-0.51
UG120158	-0.51
UG120219	-0.51
UG120232	-0.52
UG120031	-0.53
UG120003	-0.54
UG120090	-0.57
UG120249	-0.57
UG120246	-0.59
UG120007	-0.61
UG120133	-0.61
UG120287	-0.61
UG120189	-0.62
UG120010	-0.62
UG120214	-0.62
UG120169	-0.64
UG120234	-0.64
UG120200	-0.64
UG120012	-0.66
UG120017	-0.67
UG120163	-0.67
UG120020	-0.68
UG120126	-0.69
UG120021	-0.7
UG120062	-0.73
UG120125	-0.73
UG120023	-0.74
UG120075	-0.78
UG120065	-0.79
UG120266	-0.79
UG120091	-0.79
UG120068	-0.81
UG120039	-0.82
UG120092	-0.82
UG120124	-0.83
UG120286	-0.84
UG120041	-0.84
UG120083	-0.84
UG120026	-0.85
UG120122	-0.85
UG120052	-0.86
UG120098	-0.9
UG120181	-0.9
UG120220	-0.9
UG120079	-0.9
UG120191	-0.91
UG120058	-0.93
UG120175	-0.95
UG120112	-0.96
UG120107	-0.99
UG120161	-0.99
UG120104	-1.01
UG120209	-1.01
UG120080	-1.03
UG120089	-1.04
UG120182	-1.04
UG120061	-1.05
UG120009	-1.08
UG120203	-1.1
UG120165	-1.14
UG120272	-1.14
UG120011	-1.17
UG120254	-1.17
UG120285	-1.17
UG120213	-1.19
UG120051	-1.22
UG120224	-1.23
UG120215	-1.24
UG120036	-1.25
UG120235	-1.26
UG120116	-1.29
UG120102	-1.31
UG120261	-1.31
UG120027	-1.33
UG120053	-1.4
UG120174	-1.4
UG120202	-1.4
UG120206	-1.42
UG120171	-1.43
UG120270	-1.45
UG120225	-1.46
UG120016	-1.48
UG120059	-1.56
UG120231	-1.57
UG120168	-1.59
UG120242	-1.61
UG120019	-1.63
UG120176	-1.64
UG120093	-1.65
UG120015	-1.67
UG120100	-1.69
UG120105	-1.7
UG120284	-1.71
UG120274	-1.72
UG120014	-1.77
UG120248	-1.77
UG120029	-1.8
UG120269	-1.92
UG120139	-1.95
UG120144	-1.98
UG120055	-1.99
UG120099	-2.01
UG120060	-2.13
UG120121	-2.23
UG120030	-2.25
UG120271	-2.25
UG120145	-2.3
UG120097	-2.45
