	FRW
UG120001	4.41
UG120071	3.87
UG120057	3.37
UG120072	3.23
UG120006	2.69
UG120074	1.66
UG120034	1.58
UG120004	1.55
UG120008	1.54
UG120073	1.37
UG120033	1.33
UG120086	1.02
UG120064	0.89
UG120085	0.75
UG120022	0.7
UG120084	0.67
UG120046	0.65
UG120063	0.5
UG120077	0.37
UG120048	0.35
UG120076	0.35
UG120082	0.31
UG120067	0.3
UG120032	0.27
UG120069	0.2
UG120035	0.13
UG120081	0.13
UG120078	0.11
UG120038	0.1
UG120037	0.06
UG120070	0.04
UG120002	-0.01
UG120025	-0.02
UG120044	-0.09
UG120028	-0.11
UG120049	-0.14
UG120066	-0.16
UG120024	-0.23
UG120013	-0.25
UG120018	-0.28
UG120040	-0.38
UG120005	-0.4
UG120042	-0.4
UG120043	-0.47
UG120031	-0.52
UG120003	-0.54
UG120007	-0.6
UG120010	-0.62
UG120012	-0.65
UG120017	-0.67
UG120020	-0.68
UG120021	-0.69
UG120062	-0.73
UG120023	-0.73
UG120065	-0.79
UG120039	-0.81
UG120026	-0.85
UG120079	-0.89
UG120058	-0.93
UG120080	-1.03
UG120061	-1.05
UG120009	-1.07
UG120011	-1.17
UG120051	-1.22
UG120036	-1.25
UG120027	-1.33
UG120053	-1.39
UG120016	-1.48
UG120059	-1.55
UG120019	-1.63
UG120015	-1.66
UG120014	-1.77
UG120029	-1.8
UG120055	-1.99
UG120060	-2.13
UG120030	-2.25
