	FRW
UG120001	4.45
UG120006	2.73
UG120034	1.62
UG120004	1.59
UG120008	1.58
UG120033	1.38
UG120022	0.74
UG120046	0.7
UG120048	0.39
UG120032	0.31
UG120035	0.17
UG120038	0.14
UG120037	0.1
UG120002	0.03
UG120025	0.02
UG120044	-0.05
UG120028	-0.07
UG120049	-0.1
UG120024	-0.19
UG120013	-0.21
UG120018	-0.24
UG120040	-0.34
UG120005	-0.35
UG120042	-0.35
UG120043	-0.43
UG120031	-0.48
UG120003	-0.49
UG120007	-0.56
UG120010	-0.58
UG120012	-0.61
UG120017	-0.62
UG120020	-0.63
UG120021	-0.65
UG120023	-0.69
UG120039	-0.77
UG120026	-0.81
UG120009	-1.03
UG120011	-1.13
UG120051	-1.18
UG120036	-1.21
UG120027	-1.29
UG120053	-1.35
UG120016	-1.43
UG120019	-1.59
UG120015	-1.62
UG120014	-1.72
UG120029	-1.76
UG120055	-1.95
UG120030	-2.2
