	DMCP
UG120178	2.4
UG120194	2.36
UG120207	2.13
UG120280	1.97
UG120198	1.81
UG120084	1.76
UG120193	1.75
UG120160	1.67
UG120037	1.64
UG120172	1.63
UG120085	1.55
UG120208	1.5
UG120095	1.44
UG120170	1.44
UG120166	1.4
UG120167	1.38
UG120221	1.36
UG120071	1.33
UG120004	1.31
UG120247	1.31
UG120186	1.3
UG120251	1.3
UG120108	1.29
UG120153	1.27
UG120199	1.24
UG120151	1.22
UG120211	1.22
UG120024	1.21
UG120143	1.16
UG120154	1.16
UG120001	1.15
UG120272	1.15
UG120008	1.1
UG120264	1.1
UG120228	1.09
UG120177	1.01
UG120157	1
UG120179	1
UG120184	0.97
UG120120	0.96
UG120006	0.92
UG120137	0.9
UG120226	0.89
UG120034	0.87
UG120031	0.85
UG120107	0.85
UG120067	0.84
UG120227	0.84
UG120190	0.82
UG120036	0.77
UG120046	0.74
UG120072	0.74
UG120106	0.74
UG120025	0.73
UG120096	0.65
UG120205	0.65
UG120070	0.64
UG120257	0.64
UG120057	0.63
UG120007	0.62
UG120192	0.61
UG120278	0.59
UG120173	0.57
UG120210	0.57
UG120248	0.55
UG120022	0.54
UG120244	0.51
UG120076	0.49
UG120185	0.49
UG120289	0.48
UG120181	0.45
UG120287	0.43
UG120088	0.42
UG120156	0.41
UG120189	0.38
UG120195	0.38
UG120033	0.37
UG120267	0.37
UG120078	0.36
UG120288	0.36
UG120101	0.35
UG120245	0.33
UG120191	0.3
UG120026	0.24
UG120040	0.2
UG120141	0.2
UG120017	0.18
UG120261	0.16
UG120283	0.16
UG120087	0.15
UG120002	0.11
UG120021	0.1
UG120113	0.08
UG120069	0.07
UG120223	0.05
UG120063	0.01
UG120102	0.01
UG120158	-0.01
UG120103	-0.02
UG120133	-0.02
UG120219	-0.04
UG120238	-0.05
UG120268	-0.05
UG120122	-0.11
UG120262	-0.14
UG120035	-0.16
UG120064	-0.17
UG120171	-0.17
UG120246	-0.19
UG120005	-0.2
UG120099	-0.21
UG120018	-0.22
UG120161	-0.23
UG120196	-0.28
UG120009	-0.29
UG120162	-0.33
UG120218	-0.33
UG120132	-0.39
UG120135	-0.4
UG120148	-0.4
UG120260	-0.42
UG120048	-0.43
UG120164	-0.44
UG120165	-0.47
UG120270	-0.47
UG120222	-0.54
UG120286	-0.54
UG120220	-0.56
UG120146	-0.59
UG120266	-0.65
UG120187	-0.67
UG120253	-0.67
UG120028	-0.68
UG120274	-0.68
UG120081	-0.69
UG120109	-0.73
UG120029	-0.75
UG120234	-0.76
UG120169	-0.78
UG120030	-0.79
UG120126	-0.81
UG120015	-0.84
UG120163	-0.84
UG120284	-0.84
UG120174	-0.87
UG120229	-0.9
UG120242	-0.91
UG120115	-0.97
UG120061	-1
UG120074	-1.02
UG120175	-1.02
UG120144	-1.05
UG120243	-1.05
UG120225	-1.08
UG120027	-1.1
UG120062	-1.1
UG120121	-1.15
UG120235	-1.19
UG120098	-1.25
UG120014	-1.27
UG120215	-1.32
UG120039	-1.35
UG120055	-1.35
UG120080	-1.35
UG120202	-1.47
UG120116	-1.51
UG120065	-1.59
UG120012	-1.6
UG120013	-1.65
UG120239	-1.72
UG120060	-1.75
UG120093	-1.76
UG120105	-1.81
UG120020	-1.85
UG120089	-1.86
UG120058	-1.92
UG120213	-2.02
UG120011	-2.03
UG120053	-2.08
UG120097	-2.41
UG120019	-2.47
UG120176	-2.64
