	FRW
UG120221	5.57
UG120001	4.42
UG120071	3.88
UG120193	3.74
UG120057	3.39
UG120072	3.24
UG120278	2.77
UG120006	2.71
UG120264	2.56
UG120184	2.47
UG120109	2.26
UG120253	2.2
UG120223	2.09
UG120170	1.95
UG120251	1.94
UG120172	1.86
UG120132	1.85
UG120260	1.82
UG120173	1.72
UG120074	1.68
UG120187	1.65
UG120034	1.6
UG120004	1.56
UG120008	1.56
UG120196	1.56
UG120208	1.54
UG120243	1.49
UG120167	1.46
UG120247	1.39
UG120283	1.39
UG120113	1.36
UG120143	1.36
UG120033	1.35
UG120146	1.35
UG120194	1.34
UG120135	1.05
UG120244	1.05
UG120064	0.9
UG120262	0.9
UG120195	0.87
UG120288	0.83
UG120268	0.81
UG120257	0.8
UG120085	0.77
UG120096	0.73
UG120190	0.73
UG120022	0.72
UG120153	0.71
UG120154	0.7
UG120211	0.7
UG120084	0.68
UG120046	0.67
UG120205	0.64
UG120156	0.63
UG120239	0.63
UG120166	0.62
UG120267	0.62
UG120177	0.58
UG120245	0.57
UG120106	0.56
UG120115	0.55
UG120238	0.53
UG120063	0.51
UG120137	0.48
UG120101	0.4
UG120048	0.37
UG120076	0.37
UG120067	0.32
UG120157	0.27
UG120228	0.25
UG120229	0.24
UG120069	0.22
UG120226	0.17
UG120128	0.16
UG120081	0.15
UG120178	0.15
UG120280	0.15
UG120035	0.14
UG120192	0.14
UG120078	0.13
UG120037	0.08
UG120070	0.06
UG120002	0.01
UG120025	-0.01
UG120120	-0.01
UG120088	-0.08
UG120028	-0.09
UG120151	-0.1
UG120141	-0.13
UG120198	-0.17
UG120186	-0.19
UG120024	-0.22
UG120013	-0.23
UG120095	-0.23
UG120185	-0.25
UG120018	-0.26
UG120087	-0.28
UG120222	-0.28
UG120289	-0.28
UG120160	-0.3
UG120164	-0.3
UG120218	-0.3
UG120179	-0.34
UG120207	-0.34
UG120108	-0.35
UG120040	-0.36
UG120148	-0.36
UG120005	-0.38
UG120042	-0.38
UG120199	-0.38
UG120210	-0.38
UG120162	-0.42
UG120219	-0.48
UG120103	-0.49
UG120158	-0.49
UG120031	-0.5
UG120246	-0.56
UG120007	-0.58
UG120287	-0.58
UG120133	-0.59
UG120189	-0.6
UG120169	-0.62
UG120234	-0.62
UG120012	-0.64
UG120017	-0.65
UG120163	-0.65
UG120020	-0.66
UG120021	-0.67
UG120126	-0.67
UG120062	-0.71
UG120266	-0.76
UG120065	-0.77
UG120039	-0.79
UG120122	-0.82
UG120286	-0.82
UG120026	-0.83
UG120098	-0.88
UG120181	-0.88
UG120220	-0.88
UG120191	-0.89
UG120058	-0.91
UG120175	-0.92
UG120107	-0.96
UG120161	-0.97
UG120080	-1.01
UG120089	-1.02
UG120061	-1.03
UG120009	-1.05
UG120165	-1.11
UG120272	-1.12
UG120011	-1.15
UG120213	-1.16
UG120051	-1.2
UG120215	-1.21
UG120036	-1.23
UG120235	-1.24
UG120116	-1.27
UG120102	-1.29
UG120261	-1.29
UG120027	-1.31
UG120053	-1.37
UG120174	-1.38
UG120202	-1.38
UG120171	-1.41
UG120270	-1.42
UG120225	-1.44
UG120231	-1.55
UG120242	-1.58
UG120019	-1.61
UG120176	-1.62
UG120093	-1.63
UG120015	-1.64
UG120105	-1.67
UG120284	-1.69
UG120274	-1.7
UG120248	-1.74
UG120014	-1.75
UG120029	-1.78
UG120144	-1.95
UG120055	-1.97
UG120099	-1.98
UG120060	-2.11
UG120121	-2.21
UG120030	-2.23
UG120097	-2.42
