O:Joe, 12:16:46, 12/11/2012
D:2012/11/12, 12:16:48, 12/11/2012
L:1,,
P:1,,
CB38783, 12:17:54, 12/11/2012
CO_334:0000109, 12:18:06, 12/11/2012
0, 12:18:06, 12/11/2012
CO_334:0000108, 12:18:51, 12/11/2012
1, 12:19:08, 12/11/2012
CO_334:0000014, 12:19:08, 12/11/2012
5, 12:19:08, 12/11/2012
CB38784, 12:19:22, 12/11/2012
CO_334:0000109, 12:19:54, 12/11/2012
123, 12:19:54, 12/11/2012
CO_334:0000108, 12:20:05, 12/11/2012
1, 12:20:05, 12/11/2012
CO_334:0000014, 12:20:12, 12/11/2012
4/10, 12:20:12, 12/11/2012
