	Marker.Effects
S9460_91231	0.08125
S7035_107575	0.07866
S8265_2172104	0.07766
S12686_58507	0.07568
S5005_46565	0.07527
S3750_668529	0.07152
S3241_355591	0.06877
S3130_128901	0.06866
S4080_8045	0.06746
S2295_15627	0.06567
S3332_1040319	0.06529
S1551_1108196	0.06449
S2431_166818	0.06435
S2431_391893	0.06382
S8757_543709	0.06352
S3750_584997	0.0617
S1551_3366575	0.06104
S7012_1050824	0.05956
S1551_1838719	0.05873
S12794_1825180	0.05772
S11998_912093	0.05637
S7041_105481	0.05526
S821_289681	0.05498
S7520_657920	0.05366
S3241_181474	0.05304
S4043_1370276	0.0519
S6814_392390	0.0515
S11179_10653	0.05078
S11689_120997	0.05067
S8686_7793511	0.05023
S9035_226	0.04891
S8494_164649	0.0488
S8799_611047	0.04866
S248_174244	0.04857
S9761_459530	0.04816
S3741_987743	0.04755
S12525_579339	0.04727
S3750_1090019	0.04722
S6656_803304	0.04681
S8265_4827922	0.04658
S6980_52703	0.04652
S318_245078	0.04637
S1551_1622871	0.04599
S3237_271879	0.04585
S8265_22544562	0.04559
S12794_1417026	0.04529
S6707_146411	0.04482
S8799_699207	0.04474
S7520_1896478	0.04445
S11388_132103	0.04384
S2943_243361	0.0435
S11495_272492	0.043
S2572_338710	0.0423
S6611_103757	0.04197
S4056_140993	0.04137
S7520_639628	0.0411
S7520_2326151	0.04078
S11495_580938	0.03902
S341_927602	0.03797
S2960_262567	0.03792
S3750_1088142	0.03783
S9120_441308	0.03781
S11267_108022	0.03777
S10797_134409	0.03694
S3332_808673	0.03647
S1551_712371	0.03643
S4175_515602	0.03633
S9692_230167	0.03608
S3264_99474	0.03599
S2912_229140	0.03592
S3264_774153	0.0353
S6512_1743766	0.03504
S9788_453634	0.03499
S3736_59970	0.03481
S7519_562902	0.03477
S7520_730357	0.03473
S3787_76554	0.03446
S9013_98478	0.03425
S3264_149094	0.03401
S3378_380126	0.03331
S3264_734293	0.0332
S3264_464491	0.03245
S11998_632212	0.03235
S9492_223801	0.03222
S4274_140837	0.03209
S6611_35506	0.03193
S435_153155	0.03191
S2477_323725	0.03188
S5335_417949	0.03125
S7035_17812	0.03107
S6512_2254100	0.03082
S6278_732960	0.03069
S3975_252778	0.03062
S4043_959955	0.03029
S4457_1300393	0.03018
S6914_1376609	0.03015
S4489_189071	0.03007
S6814_93934	0.03002
S7520_1890285	0.02985
S5875_342195	0.02968
S6916_1522636	0.02958
S4065_263245	0.02946
S1027_465354	0.02896
S6550_503577	0.02889
S3581_1431971	0.02881
S7571_657127	0.0282
S10563_110710	0.02818
S6609_419187	0.02761
S6850_23519	0.02671
S3245_85163	0.0265
S5219_79565	0.02645
S8314_33002	0.02572
S3332_613796	0.02541
S12262_123295	0.02519
S12004_43792	0.02507
S6137_47666	0.02504
S7520_2562868	0.02498
S6914_477062	0.02489
S8265_3146272	0.02483
S10963_781226	0.02399
S5375_53450	0.02396
S5280_446764	0.02384
S3614_529844	0.02376
S11297_160003	0.02369
S9876_584512	0.02367
S7444_119272	0.02285
S8151_113577	0.0227
S6853_107002	0.02266
S3614_3881800	0.02256
S4043_373081	0.02237
S8542_178809	0.02208
S1945_591357	0.02202
S4285_227555	0.02164
S12529_29862	0.02147
S6278_558480	0.02086
S11279_135336	0.0199
S6761_25246	0.01985
S6916_1130850	0.01983
S3402_49570	0.0195
S11897_254957	0.01937
S7571_626158	0.01925
S11581_902331	0.01904
S9365_148585	0.01896
S7012_666222	0.01891
S4274_177473	0.01873
S4043_1147239	0.01795
S3581_1333049	0.01793
S952_150314	0.01753
S6206_155413	0.01744
S9120_466058	0.01742
S2658_486557	0.01709
S7520_2302096	0.01695
S7292_69	0.01695
S3736_123338	0.01652
S12794_1615271	0.01616
S3150_319271	0.01602
S7861_4499	0.01565
S3846_12968	0.01557
S847_1315798	0.01557
S2943_739571	0.01554
S80_232173	0.0155
S10114_185859	0.01548
S9260_85990	0.01545
S7107_65000	0.01533
S11179_231468	0.01532
S11106_78443	0.01492
S6550_324831	0.01479
S3741_440684	0.01446
S3975_237757	0.01446
S7571_117345	0.01422
S8359_287419	0.01378
S12542_14293	0.01376
S3604_430194	0.01362
S10493_529025	0.01345
S5_36739	0.01334
S8265_1563741	0.01333
S6908_237833	0.013
S224_309814	0.0128
S2975_103241	0.01251
S2080_165181	0.01222
S5848_77293	0.01206
S8686_1074871	0.01202
S5375_132818	0.01189
S8316_828081	0.01149
S6775_95179	0.01145
S940_150103	0.01136
S4457_297856	0.01124
S620_130205	0.01102
S11661_255071	0.01063
S6629_942	0.01052
S5859_652772	0.01049
S6089_24864	0.01028
S1551_2906760	0.01026
S2477_406510	0.00975
S4681_262496	0.00974
S7488_50987	0.00971
S9360_88379	0.0095
S3049_987925	0.00941
S6656_133278	0.00941
S7069_339027	0.00922
S12455_550518	0.00902
S832_39811	0.00884
S2853_503599	0.00855
S847_1804912	0.00852
S6656_80205	0.00851
S7520_1438963	0.00847
S9702_205063	0.00836
S11297_591849	0.00834
S1551_1252422	0.00828
S12004_315885	0.00826
S3614_2789312	0.00824
