	Marker.Effects
S3402_49570	0.14629
S3750_584997	0.14563
S11106_78443	0.13321
S2264_241725	0.13213
S5859_652772	0.13152
S435_153155	0.12569
S12262_123295	0.12435
S11267_108022	0.12412
S3750_1090019	0.12406
S10797_134409	0.12244
S7035_107575	0.12058
S2421_401501	0.11934
S3049_609125	0.11916
S6825_286368	0.11369
S1945_666842	0.10365
S6916_1130850	0.10187
S9260_85990	0.10076
S9360_88379	0.09869
S7351_123029	0.09353
S3264_99474	0.0925
S6914_477062	0.0923
S3264_734293	0.09022
S9120_441308	0.08974
S3750_668529	0.08956
S12211_157511	0.08703
S3130_128901	0.08701
S3332_1040319	0.08529
S8265_22544562	0.08418
S2421_1140337	0.08283
S6707_146411	0.0822
S8542_302774	0.08183
S3264_774153	0.0799
S1027_465354	0.07967
S3859_212947	0.07636
S3581_377460	0.07562
S4457_1300393	0.07533
S1934_97870	0.07342
S6446_121660	0.07334
S11297_587571	0.0728
S5875_130394	0.07255
S3264_149094	0.06939
S97_219243	0.0683
S952_150314	0.06823
S7444_119272	0.06728
S7463_71588	0.06492
S3378_380126	0.06271
S6611_35506	0.06268
S11874_29482	0.06144
S11179_231468	0.06136
S2572_338710	0.06103
S6656_80205	0.06044
S3241_181474	0.05988
S80_232173	0.05965
S6278_558480	0.05944
S7520_730357	0.05938
S4043_373081	0.05885
S3581_1333049	0.05874
S4043_959955	0.05852
S10493_191533	0.05839
S4175_365840	0.05829
S6705_400094	0.0581
S8686_7793511	0.05806
S7520_2302096	0.05769
S7762_244113	0.05767
S3802_796806	0.05737
S9761_459530	0.05717
S2912_229140	0.05612
S6877_11081	0.05593
S3484_40231	0.05519
S8265_382843	0.05513
S6609_419187	0.05467
S5875_654914	0.05463
S7520_2562868	0.05413
S6980_52703	0.05382
S4439_28513	0.05366
S3186_44615	0.05211
S7069_330799	0.0519
S7520_1890285	0.05184
S3614_2789312	0.05177
S3736_123338	0.05126
S9365_148585	0.05125
S1828_8899	0.05118
S9414_6599	0.05069
S8265_3146272	0.0503
S3787_76554	0.05029
S12794_1825180	0.05006
S7035_336332	0.04939
S12455_245618	0.04923
S12794_1615271	0.04798
S11689_120997	0.04778
S7012_666222	0.04681
S3614_529844	0.04607
S1551_1622871	0.04603
S4083_489335	0.04597
S9788_453634	0.04577
S5005_46565	0.04556
S10563_535346	0.04507
S1551_1108196	0.0441
S3150_262120	0.04351
S8265_2750819	0.04311
S8828_26701	0.04144
S6916_898371	0.04039
S6916_1522636	0.04028
S8316_64051	0.04026
S7660_98872	0.03974
S6598_454335	0.03959
S1551_3366575	0.03946
S12525_872745	0.03935
S4065_271143	0.03912
S6512_104772	0.03893
S8265_1262361	0.03861
S6914_1376609	0.03857
S7543_258314	0.03836
S5219_79565	0.03824
S847_1804912	0.03769
S7012_1050824	0.0373
S3975_237757	0.03678
S8265_24005142	0.03672
S6908_237833	0.03646
S6656_803304	0.03633
S10563_110710	0.03627
S9013_98478	0.03606
S8617_19507	0.03586
S7035_17812	0.03399
S7520_657920	0.0339
S6611_103757	0.03372
S11998_912093	0.0337
S80_224901	0.0331
S3736_59970	0.03309
S6278_610459	0.03277
S11495_272492	0.03235
S8847_267195	0.03157
S3651_300950	0.03096
S2572_310038	0.03081
S12525_579339	0.03035
S7520_1896478	0.02971
S7292_69	0.02891
S2477_162755	0.02837
S7107_65000	0.0279
S8673_48171	0.02775
S12414_138577	0.02775
S2538_411592	0.02739
S7520_2804544	0.02736
