	Marker.Effects
S11998_632212	0.12855
S2421_322288	0.11914
S8265_4827922	0.10782
S8494_164649	0.10685
S11388_132103	0.10396
S6089_509226	0.09103
S8265_22544562	0.08889
S12279_48910	0.0886
S3750_584997	0.08679
S3750_668529	0.08607
S6908_232376	0.07967
S8617_19507	0.0791
S11998_912093	0.07772
S3741_987743	0.07581
S10689_537521	0.07321
S5875_654914	0.07269
S6814_392390	0.0711
S9492_223801	0.07064
S6916_343692	0.06921
S6631_66971	0.0678
S9035_226	0.06713
S4209_210894	0.06658
S9788_66332	0.06626
S8799_611047	0.06396
S6850_23519	0.06339
S1701_727586	0.06179
S11341_175970	0.05785
S10493_191533	0.05751
S11378_324775	0.05697
S8003_188563	0.05673
S80_232173	0.05637
S832_39811	0.05587
S97_219243	0.05587
S9013_98478	0.05566
S3115_156392	0.05461
S12753_445856	0.05348
S9120_441308	0.0534
S3484_40231	0.05293
S6598_300948	0.05253
S6916_1130850	0.05241
S3750_1090019	0.05164
S8265_2750819	0.05091
S1551_712371	0.05045
S12004_39799	0.04994
S12439_186389	0.04986
S6609_419187	0.04846
S6908_174548	0.04813
S12262_166442	0.04806
S10563_535346	0.04743
S2853_503599	0.04694
S7107_65000	0.04663
S4851_601229	0.04643
S12794_742415	0.04553
S5219_79565	0.04465
S12542_14293	0.04349
S3614_2789312	0.04289
S4043_1147239	0.04267
S10563_6640	0.04238
S5875_342195	0.04236
S1828_8899	0.04208
S2915_247882	0.04179
S3402_49570	0.0408
S8265_32288641	0.04073
S1551_652731	0.04041
S3241_181474	0.04034
S3787_76554	0.04023
S7012_411405	0.03965
S2477_162755	0.03934
S11661_221624	0.03921
S12794_1417026	0.03916
S12091_54588	0.03872
S3264_99474	0.03748
S6598_454335	0.03737
S3049_987925	0.03731
S7478_325486	0.03723
S1551_3200002	0.03696
S11689_120997	0.03693
S8473_23707	0.03678
S2912_229140	0.0355
S3975_237757	0.03515
S952_150314	0.03424
S4269_27179	0.03423
S3975_252778	0.03415
S4065_263245	0.03388
S3581_1431971	0.03356
S940_150103	0.03283
S4080_8045	0.03282
S12759_185633	0.03224
S3604_430194	0.03143
S7041_105481	0.03095
S7463_71588	0.03058
S7520_639628	0.02977
S9702_205063	0.02953
S5_36739	0.02943
S9460_85039	0.02921
S10173_899514	0.02916
S4175_567563	0.0288
S8473_154142	0.02863
S6916_898371	0.02861
S6656_80205	0.02859
S2264_241725	0.02858
S2959_122486	0.02812
S6155_5121	0.02805
S7571_657127	0.02799
S3115_41451	0.02763
S11495_272492	0.02756
S1441_60654	0.02732
S8265_2172104	0.02727
S3000_214855	0.02683
S6916_1173117	0.0268
S4274_140837	0.02673
S12529_29862	0.02636
S6611_103757	0.0263
S2960_262567	0.0262
S4439_28513	0.02612
S7991_19945	0.02612
S8265_24005142	0.02592
S1551_1622871	0.02547
S5280_446764	0.02546
S7292_69	0.02517
S2295_15627	0.02512
S3581_773436	0.02507
S7571_117345	0.02467
S4681_262496	0.0244
S8265_1262361	0.0239
S9231_115745	0.02388
S7520_730357	0.02363
S9460_91231	0.02332
S8265_3146272	0.02307
S847_1315798	0.02236
S2538_42936	0.0223
S3150_319271	0.02223
S10563_996687	0.02211
S10241_146006	0.02173
S7520_657920	0.0216
S8316_64051	0.02142
S6278_558480	0.02123
S6629_942	0.02075
S7520_2326151	0.0205
S3150_262120	0.02028
S3846_12968	0.02008
S3750_1088142	0.02005
S821_289681	0.01993
S12004_526993	0.01962
S4043_1370276	0.01943
S7520_1890285	0.01938
S5280_564518	0.0192
S3186_44615	0.01916
S1551_1838719	0.0189
S3115_240349	0.01863
S3614_529844	0.01825
S7035_17812	0.0181
S2658_486557	0.0178
S8265_36795792	0.01773
S7012_1050824	0.01755
S4457_1097015	0.01729
S12525_579339	0.01669
S8686_1074871	0.01663
S7660_98872	0.01645
S8673_48171	0.01645
S8167_142287	0.01616
S6853_107002	0.01597
S3581_377460	0.01587
S2936_101466	0.01579
S10797_244349	0.01575
S6814_93934	0.01536
S3241_355591	0.01529
S7520_2302096	0.01491
S2895_111794	0.01484
S9120_466058	0.01436
S8265_1563741	0.01428
S7012_12891891	0.01426
S2538_411592	0.01407
S8359_1689389	0.01406
S4882_161352	0.01399
S3333_321757	0.01372
S12686_58507	0.01345
S9360_88379	0.01339
S6278_732960	0.01309
S11495_580938	0.01292
S1551_3239448	0.01284
S4457_1300393	0.0126
S5859_652772	0.01247
S4457_297856	0.01192
S3581_431736	0.01139
S3741_151581	0.01137
S6656_133278	0.01128
S341_745165	0.01119
S7571_626158	0.01119
S620_130205	0.011
S9365_148585	0.01095
S1624_164812	0.01068
S4083_489335	0.01062
S3333_300006	0.01052
S9501_521580	0.00971
S1551_1108196	0.00963
S847_1804912	0.00953
S8359_287419	0.00931
S3150_505410	0.00929
S3264_149094	0.00922
S5162_212284	0.00914
S7488_50987	0.00907
S1842_18522	0.00878
S3049_211198	0.0082
S6914_477062	0.00809
S2572_338710	0.00779
S8473_17888	0.00771
S5375_132818	0.00758
S7762_171787	0.00731
S80_265728	0.00718
S823_109683	0.00711
S3614_868194	0.0069
S7571_291382	0.00666
S2431_166818	0.00665
S8673_46833	0.0064
S5459_69682	0.00636
S8316_61524	0.00626
S10563_110710	0.0059
S999_310366	0.00576
S8359_1561375	0.00571
S8265_125202	0.00523
S2960_642939	0.00517
S6908_237833	0.0049
S6278_610459	0.00487
S2915_246230	0.00475
S7591_141290	0.00464
S4175_365840	0.00463
S4175_686615	0.00456
S11267_108022	0.0045
S2658_679751	0.00439
S2421_401501	0.00437
S4489_189071	0.00422
S341_311907	0.00411
S6707_77683	0.00408
S12728_11449	0.00402
S1127_16826	0.00392
