	Marker.Effects
S97_219243	0.28724
S8494_164649	0.269
S8542_302774	0.25524
S4457_1300393	0.25056
S7069_330799	0.23766
S69_57277	0.23191
S2421_401501	0.22861
S9260_85990	0.22505
S8265_2750819	0.21608
S7351_123029	0.21428
S3402_49570	0.21218
S6916_1522636	0.20963
S4439_28513	0.20848
S8316_64051	0.20243
S6914_477062	0.19773
S1945_666842	0.19685
S11874_29482	0.19574
S3859_212947	0.19561
S3750_584997	0.19436
S3581_431736	0.18321
S6609_375938	0.1821
S2572_338710	0.18145
S4457_1097015	0.18062
S3614_2789312	0.17874
S7463_71588	0.17847
S6278_610459	0.17797
S10493_191533	0.17707
S8686_843269	0.17696
S4851_601229	0.17274
S12211_157511	0.17236
S4043_373081	0.17199
S8686_1074871	0.17096
S9414_6599	0.16515
S2264_241725	0.16165
S8873_203398	0.16133
S10551_44996	0.16098
S6916_898371	0.15861
S5875_654914	0.15691
S1027_465354	0.15447
S11998_795409	0.15443
S6908_237833	0.14962
S6550_52292	0.14855
S3750_668529	0.14853
S8265_22544562	0.14809
S10493_282956	0.14794
S11661_221624	0.14492
S3736_123338	0.14291
S2572_310038	0.14216
S10551_96591	0.14157
S8617_19507	0.1406
S1701_727586	0.13896
S3581_1431971	0.13808
S10551_41284	0.13807
S5875_130394	0.13611
S4457_297856	0.13528
S3130_128901	0.13491
S8828_26701	0.13442
S2912_229140	0.13325
S1551_3722622	0.1324
S6656_80205	0.13197
S7035_107575	0.13147
S10689_585587	0.12678
S11581_902331	0.12497
S12262_123295	0.12429
S4043_959955	0.12372
S10797_134409	0.12358
S5219_79565	0.1222
S3750_1090019	0.12145
S8265_3146272	0.12041
S1828_8899	0.12014
S3264_734293	0.11859
S6707_146411	0.11764
S8359_781759	0.11604
S2080_165181	0.11465
S10780_25444	0.11412
S4165_382338	0.11381
S8686_7793511	0.11284
S3049_609125	0.11239
S3333_321757	0.10858
S12091_54588	0.10757
S12455_245618	0.10754
S2436_67341	0.10751
S11378_324775	0.10712
S7660_98872	0.10639
S1551_652731	0.10357
S4285_227555	0.10226
S3614_10643	0.10028
S1934_97870	0.09861
S9365_148585	0.09846
S11267_108022	0.09787
S12498_209195	0.09771
S3000_214855	0.09684
S8673_48171	0.09651
S11661_255071	0.09277
S12455_550518	0.0921
S1127_16826	0.09194
S6916_1130850	0.09107
S3581_1333049	0.09014
S6278_558480	0.08887
S8004_147325	0.08774
S4065_271143	0.08618
S9460_91231	0.08392
S8265_4827922	0.08116
S1551_2906760	0.08036
S7571_657127	0.07957
S5865_159403	0.07821
S3264_464491	0.07796
S6761_25246	0.07705
S7543_258314	0.07598
S12946_101555	0.07554
S435_153155	0.07417
S6916_343692	0.07382
S2936_101466	0.07313
S11495_150387	0.0731
S4489_189071	0.07273
S9692_230167	0.07251
S5280_446764	0.07182
S8686_5839121	0.07158
S6825_286368	0.07156
S3787_76554	0.07099
S7591_141290	0.07057
S8122_306261	0.06989
S3614_1817341	0.0698
S7035_17812	0.06775
S832_39811	0.06592
S4681_262496	0.06532
S5280_564518	0.06518
S3264_774153	0.06481
S6814_93934	0.06435
S12525_579339	0.06425
S8799_699207	0.06424
S11297_587571	0.06356
S7520_2326151	0.06277
S3718_276118	0.06188
S11689_232183	0.06178
S2817_91598	0.06067
S3651_300950	0.06063
S6609_419187	0.05925
S8265_125202	0.05895
S10797_244349	0.05706
S8799_611047	0.05675
S12794_1615271	0.0565
S3150_262120	0.0559
S2538_411592	0.05565
S6656_803304	0.05458
S10563_6640	0.05296
S5005_46565	0.0526
S5916_58666	0.05203
S8757_543709	0.05178
S10563_535346	0.05079
S12759_185633	0.05054
S7571_117345	0.0505
S7012_12891891	0.05
S12004_43792	0.04964
S2915_247882	0.04961
S2975_103241	0.04905
S6656_309064	0.04888
S7520_2302096	0.0483
S7762_244113	0.048
S80_224901	0.04773
S4269_27179	0.04763
S12414_138577	0.04696
S2960_406907	0.04616
S2477_162755	0.0461
S5162_212284	0.04528
S3237_271879	0.04504
S3150_505410	0.04451
S11279_135336	0.04356
S3846_12968	0.04343
S11341_175970	0.04323
S3581_377460	0.04209
S4175_567563	0.0416
S3614_529844	0.03975
S8265_382843	0.03906
S7991_19945	0.03904
S12529_29862	0.03877
S4083_489335	0.0384
S10563_110710	0.03808
S248_174244	0.03662
S2421_1140337	0.03644
S8847_267195	0.03632
S1945_591357	0.0356
S6877_11081	0.0355
S9788_66332	0.03385
S952_150314	0.03291
S6705_400094	0.03275
S11106_78443	0.0323
S6914_1376609	0.03143
S6980_52703	0.03124
S12542_14293	0.03068
S6611_103757	0.03062
S12794_1671144	0.03026
S6550_324831	0.0301
S8265_42380592	0.02919
S7488_50987	0.02898
S8265_2172104	0.02836
S5_36739	0.02748
S4043_1370276	0.02694
S8167_142287	0.02641
S9360_88379	0.02534
S8593_56062	0.02522
S2959_122486	0.02484
S5335_402068	0.02444
S2960_544575	0.02418
S11998_475883	0.02413
S7520_1890285	0.02367
S9231_115745	0.02354
S12525_581929	0.02348
S11179_231468	0.02337
S1551_2925283	0.02295
S3329_32933	0.02194
S3741_508439	0.02134
S8359_1689389	0.0205
S1551_3200002	0.02015
S5859_652772	0.01962
S8265_24005142	0.01861
S4080_8045	0.01726
S7012_411405	0.01719
S4457_462709	0.01712
S3333_300006	0.01703
S9761_459530	0.01688
S3604_370570	0.01632
S3150_319271	0.01618
S4065_263245	0.01519
S4175_515602	0.01508
S3332_613796	0.01477
S12279_48910	0.01433
S3115_156392	0.01323
S6707_77683	0.01301
S3604_430194	0.0127
S2658_486557	0.01269
S6206_155413	0.01239
S6028_67175	0.01235
S2960_642939	0.01176
S8265_44371882	0.0096
S8473_154142	0.00902
S8265_1788254	0.00812
S4175_365840	0.00805
S12525_872745	0.0078
S224_309814	0.00659
S7444_119272	0.00628
S3581_773436	0.00593
S11689_120997	0.00576
S3754_7252	0.00515
S11179_10653	0.00444
S999_310366	0.0037
S8673_46833	0.0034
S3115_41451	0.00272
S3241_181474	0.00232
S341_311907	0.0021
S3736_59970	0.00177
S4450_193257	0.00048
S2932_69572	0.00043
S8686_7615221	0.00027
S821_289681	1e-04
S6446_121660	-8e-05
S6611_35506	-0.00051
S3484_40231	-0.00062
S10367_21679	-0.00099
S9324_41069	-0.00119
S4083_456173	-0.00192
S8542_178809	-0.00234
S7520_730357	-0.00237
S2960_262567	-0.00285
S4043_1147239	-0.00294
S12794_1825180	-0.00448
S8316_61524	-0.00505
S6512_2254100	-0.0051
S2943_739571	-0.00538
S7107_65000	-0.00545
S3602_597743	-0.00591
S3241_314241	-0.00599
S8265_1262361	-0.00636
S10963_781226	-0.00643
S7012_666222	-0.00681
