CU	Tomato EST	A.t. Best	A.t.	EST
ID#	Sequence #	BAC match	position	stock #
T0005	TOVAD39TH	AB006700	5.011	cLED01H6
T0021	TOVAH59TH	AC007729	2.046	cLED02J22
T0028	TOVAP16TH	AC006420	2.036	cLED04D8
T0034	TOVAS39TH	AB019228	5.247	cLED05H5
T0035	TOVAS54TH	AF069716	5.051	cLED05J11
T0039	TOVAY16TH	AC007729	2.046	cLED07C7
T0040	TOVAY55TH	AC000103	1.056	cLED07I13
T0055	TOVBR32TH	AC005824	2.157	cLED11F15
T0058	TOVCA78TH	AC003027	1.007	cLED14M11
T0067	TOVCP78TH	AC003114	1.024	cLED17N12
T0086	TOVDP80TH	AF075598	4.026	cLED24M16
T0094	TSHAB35TH	AC007168	2.127	cLEB01E22
T0109	TSHBE30TH	AL078637	4.124	cLEB08E11
T0114	TPSAR65TH	AB026648	3.085	cLES05K10
T0117	TOVBX28TH	AC007729	2.046	cLED13E8
T0118	TPRAB09TH	AB006700	5.011	cLER01A18
T0122	TOVAO05TH	U95973	1.033	cLED04B9
T0123	TPRAA15TV	U93215	2.173	cLER01C5
T0128	TOVAU15TH	AC009398	1.031	cLED06C5
T0133	TPRAF23TH	AB005232	5.223	cLER02C22
T0140	TOVBB20TH	AB005243	5.035	cLED07D16
T0141	TPSAP30TH	AB005245	5.005	cLES04F12
T0142	TSHAL21TH	AB005246	5.26	cLEB03D18
T0147	TPSAP90TH	AL392174	5.0149	cLES04P12
T0155	TSHAL02TV	AC011808	1.0441	cLEB03B4
T0156	TOVAZ36TH	AC002376	1.01	cLED07E24
T0161	TOVCI86TH	AC002411	1.008	cLED16O3
T0162	TOVAM75TH	AC002131	1.037	cLED04M5
T0173	TPSAJ05THB	AC002510	2.226	cLES03A10
T0180	TPRAA43TH	AB010074	5.2	cLER01G13
T0181	TOVAP21TH	AC002130	1.13	cLED04D18
T0182	TOVDS41TH	AF069442	4.018	cLED25G9
T0187	TSHAD25TH	AB010698	5.161	cLEB01F2
T0189	TPSAJ69TH	AL021687	4.1	cLES03K18
T0196	TOVAF14TH	AL021811	4.164	cLED02C4
T0200	TPSAP79TH	AL035522	4.179	cLES04N14
T0201	TSHAB07TH	AL035522	4.179	cLEB01A14
T0208	TSHAG09TH	AC002329	2.101	cLEB02B17
T0213	TSHAI69TH	AB025638	5.14	cLEB03K17
T0214	TSHAK67TH	AL353994	5.0159	cLEB03L13
T0217	TSHAK96TH	AC007119	2.124	cLEB03P23
T0234	TSHBF84TH	AB012246	5.029	cLEB08M24
T0244	TOVAK69TH	AB012239	5.266	cLED03L17
T0245	TOVAL91TH	AL049607	4.162	cLED03P14
T0246	TOVAM10TH	AC002388	2.242	cLED04A19
T0250	TOVAS67TH	AC005169	2.115	cLED05L13
T0256	TOVAZ40TH	AB011482	5.242	cLED07G8
T0266	TOVBN23TH	AL022603	4.111	cLED10D22
T0270	TOVBP41TH	AL096860	3.11	cLED11G10
T0275	TOVBZ60TH	AC009243	1.149	cLED13J24
T0276	TOVCE01THB	AF058914	5.06	cLED15A1
T0283	TOVCN46TH	AC002329	2.101	cLED17G20
T0291	TOVCX95TH	AL022604	4.18	cLED19P22
T0292	TOVCW86TH	AL078637	4.124	cLED19P3
T0298	TOVDK22TH	AF058826	5.076	cLED23C19
T0299	TOVDN13TH	AB012242	5.178	cLED23D2
T0302	TOVDQ59TH	AC005405	5.056	cLED24J21
T0303	TOVDR80TH	AC005168	2.151	cLED24N16
T0308	TPRAB01TH	AL031135	4.182	cLER01A2
T0309	TPRAB10TH	AC004238	2.193	cLER01A20
T0311	TPRAC18TH	AC000106	1.023	cLER01D11
T0312	TPRAD20TH	AC003000	2.215	cLER01D16
T0313	TPRAC17TH	AF077407	5.059	cLER01D9
T0314	TPRAC29TH	AC004005	2.238	cLER01F9
T0318	TPRAG38TH	AF069298	4.015	cLER02H3
T0321	TPRAF90TH	AB023038	3.028	cLER02O12
T0328	TPSAF86TH	AC005168	2.151	cLES0204
T0331	TPSAH48TH	AC003000	2.215	cLES02H24
T0332	TPSAF65TH	AB008265	5.275	cLES02K10
T0335	TPSAG65TH	AC005496	2.168	cLES02L9
T0337	TPSAL05TH	AL031018	4.118	cLES03B10
T0343	TPSAK42TH	AB015478	5.202	cLES03H11
T0347	TPSAL73TH	AC009755	3.004	cLES03N2
T0351	TPSAK92TH	AC004747	2.147	cLES03P15
T0360	TOVAX58TH	AL078637	4.124	cLED06J20
T0362	TSHAA51TH	AC007168	2.127	cLEB01I5
T0365	TSHAG09TH	AC002329	2.101	cLEB02B17
T0367	TSHAK51TH	AL035538	4.191	cLEB03I5
T0368	TSHAI70TH	AL035522	4.178	cLEB03K19
T0369	TSHAL67TV	Z97335	4.084	cLEB03L14
T0386	TOVAU45TH	AC006929	2.158	cLED06G17
T0393	TOVBB82TH	AC009325	3.003	cLED07N20
T0405	TOVCI09TH	AC007290	2.154	cLED16A17
T0408	TOVCK77TH	AC006551	1.047	cLED16N9
T0418	TOVCW45TH	AB022214	5.222	cLED19H17
T0420	TOVCW66TH	AL049730	4.077	cLED19L11
T0422	TOVDF02TH	AC006920	2.091	cLED21B4
T0423	TOVDC42TH	AC005966	1.1048	cLED21G11
T0425	TOVDH09TH	AC006193	1.125	cLED22A18
T0427	TOVDJ69TH	AC006201	2.106	cLED22L18
T0429	TOVDM55TH	AL035601	4.188	cLED23J13
T0431	TOVDN76TH	AC003027	1.007	cLED23N8
T0439	TSHAB07TH	AL035522	4.179	cLER01A14
T0443	TPRAC34TH	AC007109	2.118	cLER01F19
T0447	TPRAB92TH	AL035440	4.137	cLER01O16
T0456	TPRAE96TH	AC005287	1.098	cLER02O23
T0463	TPSAA16TH	AC069159	1.1005	cLES01C7
T0482	TCAAZ08TH	AB017063	5.195	cLEC07A16
T0486	TCAAZ16TH	AC007354	1.032	cLEC07C08
T0487	TCABA19TH	AL049500	4.073	cLEC07D13
T0489	TCAAZ37TH	AC022472	1.04462	cLEC07G02
T0492	TCABA46TH	AB025609	5.167	cLEC07H19
T0493	TCAAY49TH	AL031018	4.118	cLEC07I01
T0495	TCAAZ70TH	Z97343	4.092	cLEC07K20
T0500	TCABA76TH	AC004260	1.146	cLEC07N07
T0504	TCABD05TH	AC008263	1.141	cLEC08A10
T0506	TCABD41TH	AC004077	2.191	cLEC08G10
T0507	TCABD46TH	AB005237	5.009	cLEC08G20
T0508	TCABD52TH	AP002047	3.0173	cLEC08I08
T0513	TCABD91TH	AC002505	2.149	cLEC08O14
T0518	TCABH65TH	AC007020	2.219	cLEC09K10
T0521	TCABI71TH	AB025639	3.08	cLEC09L21
T0522	TCABG78TH	AC009606	3.01	cLEC09M11
T0523	TCABG80TH	AL049488	4.065	cLEC09M15
T0524	TCABG82TH	AC007153	1.015	cLEC09M19
T0525	TCABG93TH	AB026636	3.041	cLEC09O17
T0526	TCABL02TH	AC009894	1.1	cLEC10A04
T0529	TCABM08TH	AC012563	1.1331	cLEC10B15
T0531	TCABL17TH	AP000420	3.096	cLEC10C10
T0532	TCABK25TH	AC006919	2.2	cLEC10E01
T0534	TCABL29TH	AC012188	1.03758	cLEC10E10
T0536	TCABK42TH	AB022215	3.065	cLEC10G11
T0538	TCABL47TH	AB023038	3.028	cLEC10G22
T0541	TCABL56TH	AL132957	3.1186	cLEC10I16
T0543	TCABL70TH	AL050352	4.152	cLEC10K20
T0552	TCABP31TH	AL163912	5.0125	cLEC11E14
T0554	TCABP46TH	AB015476	5.212	cLEC11G20
T0555	TCABP74TH	AC009327	3.006	cLEC11M04
T0556	TMEAA01TH	U93215	2.173	cLET01A01
T0560	TMEAA12THB	Z97339	4.088	cLET01A23
T0562	TMEAD05TH	AF149414	4.031	cLET01B10
T0564	TMEAC08TH	AB019230	3.047	cLET01B15
T0565	TMEAC09TH	AC002330	4.016	cLET01B17
T0566	TMEAC12TH	AF049236	3.116	cLET01B23
T0567	TMEAC13TH	AC005679	1.1498	cLET01D01
T0568	TMEAD16TH	AC012328	3.0044	cLET01D08
T0569	TMEAC17TH	AL079349	4.079	cLET01D09
T0570	TMEAC20TH	AC006836	2.015	cLET01D15
T0571	TMEAD21TH	AC008113	1.133	cLET01D18
T0572	TMEAD22TH	AL133292	3.10905	cLET01D20
